KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05001589 : Halton View,"6,745","6,605",49,23
E05001590 : Heath,"5,861","5,768",43,4
E05001591 : Hough Green,"6,861","6,698",51,16
E05001592 : Kingsway,"6,600","6,454",48,14
E05001593 : Mersey,"7,406","7,223",57,29
E05001594 : Norton North,"6,720","6,548",52,21
E05001595 : Norton South,"6,772","6,596",34,9
E05001596 : Riverside,"5,519","5,399",35,9
E05001597 : Windmill Hill,"2,415","2,383",10,0
E05001598 : Appleton,"10,636","10,163",316,27
E05001599 : Bewsey and Whitecross,"12,339","11,211",831,69
E05001600 : Birchwood,"10,701","10,242",234,35
E05001601 : Burtonwood and Winwick,"6,348","6,194",84,11
"E05001602 : Culcheth, Glazebury and Croft","11,690","11,225",167,106
E05001603 : Fairfield and Howley,"13,015","12,359",418,57
E05001604 : Grappenhall and Thelwall,"9,687","9,472",122,17
E05001605 : Great Sankey North,"6,339","6,207",65,18
E05001606 : Great Sankey South,"10,588","10,181",259,43
"E05001607 : Hatton, Stretton and Walton","3,084","2,997",50,2
E05001608 : Latchford East,"8,134","7,856",138,27
E05001609 : Latchford West,"6,770","6,503",143,27
E05001610 : Lymm,"12,350","11,981",166,30
E05001611 : Orford,"10,618","10,330",121,26
E05001612 : Penketh and Cuerdley,"8,543","8,384",84,7
E05001613 : Poplars and Hulme,"10,528","10,304",58,24
E05001614 : Poulton North,"10,266","9,976",95,41
E05001615 : Poulton South,"6,485","6,410",18,12
E05001616 : Rixton and Woolston,"9,116","8,901",124,17
E05001617 : Stockton Heath,"6,391","6,206",97,6
E05001618 : Westbrook,"6,446","5,937",377,31
E05001619 : Whittle Hall,"12,154","10,953",944,61
E05003114 : All Saints,"4,824","4,764",38,2
E05003115 : Aspatria,"3,380","3,361",2,4
E05003116 : Boltons,"1,832","1,807",9,1
E05003117 : Broughton St Bridget's,"4,178","4,098",50,8
E05003118 : Christchurch,"3,339","3,266",45,4
E05003119 : Clifton,"1,594","1,583",4,1
E05003120 : Crummock,"1,572","1,561",4,0
E05003121 : Dalton,"1,858","1,852",0,0
E05003122 : Derwent Valley,"1,615","1,572",18,5
E05003123 : Ellen,"3,264","3,241",8,2
E05003124 : Ellenborough,"3,810","3,769",15,0
E05003125 : Ewanrigg,"3,447","3,412",9,5
E05003126 : Flimby,"1,707","1,692",4,0
E05003127 : Harrington,"3,167","3,142",5,3
E05003128 : Holme,"1,728","1,709",6,1
E05003129 : Keswick,"5,243","5,118",69,15
E05003130 : Marsh,"1,608","1,601",2,1
E05003131 : Moorclose,"4,978","4,935",30,4
E05003132 : Moss Bay,"4,979","4,939",12,4
E05003133 : Netherhall,"3,081","3,041",20,5
E05003134 : St John's,"5,439","5,394",20,1
E05003135 : St Michael's,"5,187","5,107",45,4
E05003136 : Seaton,"5,196","5,143",26,0
E05003137 : Silloth,"3,268","3,244",8,0
E05003138 : Solway,"1,631","1,623",1,0
E05003139 : Stainburn,"1,694","1,684",1,1
E05003140 : Wampool,"1,683","1,678",0,0
E05003141 : Warnell,"1,940","1,928",4,0
E05003142 : Waver,"1,803","1,799",0,0
E05003143 : Wharrels,"1,546","1,531",5,0
E05003144 : Wigton,"5,831","5,791",17,2
E05003145 : Barrow Island,"2,616","2,588",10,3
E05003146 : Central,"4,583","4,465",79,9
E05003147 : Dalton North,"6,135","6,068",18,4
E05003148 : Dalton South,"6,207","6,140",33,7
E05003149 : Hawcoat,"4,922","4,766",123,3
E05003150 : Hindpool,"5,851","5,693",106,6
E05003151 : Newbarns,"5,487","5,382",53,11
E05003152 : Ormsgill,"6,033","5,947",45,6
E05003153 : Parkside,"5,584","5,469",62,15
E05003154 : Risedale,"6,294","6,189",55,0
E05003155 : Roosecote,"4,724","4,667",28,2
E05003156 : Walney North,"5,344","5,296",11,1
E05003157 : Walney South,"5,307","5,270",10,3
E05003158 : Belah,"6,149","5,968",147,6
E05003159 : Belle Vue,"6,491","6,394",49,6
E05003160 : Botcherby,"6,194","6,083",52,6
E05003161 : Brampton,"4,627","4,575",19,12
E05003162 : Burgh,"2,117","2,101",6,0
E05003163 : Castle,"5,854","5,535",198,41
E05003164 : Currock,"6,218","6,101",79,7
E05003165 : Dalston,"6,051","5,934",91,4
E05003166 : Denton Holme,"6,383","6,234",92,7
E05003167 : Great Corby and Geltsdale,"2,157","2,129",11,6
E05003168 : Harraby,"6,713","6,612",49,5
E05003169 : Hayton,"2,064","2,047",6,4
E05003170 : Irthing,"2,002","1,985",3,1
E05003171 : Longtown & Rockcliffe,"4,123","4,078",20,4
E05003172 : Lyne,"1,933","1,928",2,0
E05003173 : Morton,"5,825","5,778",30,2
E05003174 : St Aidans,"6,126","5,861",193,15
E05003175 : Stanwix Rural,"4,639","4,575",33,4
E05003176 : Stanwix Urban,"5,934","5,812",72,6
E05003177 : Upperby,"5,476","5,398",46,6
E05003178 : Wetheral,"4,541","4,492",32,1
E05003179 : Yewdale,"5,907","5,860",18,4
E05003180 : Arlecdon,"1,500","1,478",9,2
E05003181 : Beckermet,"3,024","2,997",7,7
E05003182 : Bootle,"1,300","1,285",2,4
E05003183 : Bransty,"5,009","4,916",63,4
E05003184 : Cleator Moor North,"4,120","4,076",27,0
E05003185 : Cleator Moor South,"2,816","2,782",20,0
E05003186 : Distington,"4,058","4,017",17,1
E05003187 : Egremont North,"4,456","4,416",19,5
E05003188 : Egremont South,"3,738","3,682",21,7
E05003189 : Ennerdale,"1,025","1,014",5,0
E05003190 : Frizington,"2,558","2,531",5,2
E05003191 : Gosforth,"1,396","1,385",3,0
E05003192 : Harbour,"4,105","4,000",78,4
E05003193 : Haverigg,"1,849","1,749",52,23
E05003194 : Hensingham,"4,145","3,986",117,12
E05003195 : Hillcrest,"2,685","2,653",20,1
E05003196 : Holborn Hill,"2,481","2,468",7,1
E05003197 : Kells,"2,437","2,411",5,0
E05003198 : Millom Without,"1,369","1,360",2,0
E05003199 : Mirehouse,"4,498","4,456",20,0
E05003200 : Moresby,"1,448","1,438",6,1
E05003201 : Newtown,"3,499","3,464",10,2
E05003202 : St Bees,"1,801","1,732",61,1
E05003203 : Sandwith,"2,463","2,412",32,0
E05003204 : Seascale,"2,823","2,783",21,7
E05003205 : Alston Moor,"2,088","2,071",6,2
E05003206 : Appleby (Appleby),"1,293","1,279",9,0
E05003207 : Appleby (Bongate),"1,755","1,741",5,2
E05003208 : Askham,"1,432","1,410",2,1
E05003209 : Brough,"1,317","1,311",2,2
E05003210 : Crosby Ravensworth,"1,396","1,387",1,2
E05003211 : Dacre,"1,438","1,424",10,0
E05003212 : Eamont,"1,447","1,427",12,0
E05003213 : Greystoke,"1,374","1,370",2,0
E05003214 : Hartside,"1,273","1,269",2,1
E05003215 : Hesket,"3,193","3,163",17,2
E05003216 : Kirkby Stephen,"2,580","2,558",15,0
E05003217 : Kirkby Thore,"1,563","1,556",4,0
E05003218 : Kirkoswald,"1,471","1,452",6,0
E05003219 : Langwathby,"1,562","1,550",1,0
E05003220 : Lazonby,"1,388","1,377",2,0
E05003221 : Long Marton,"1,202","1,194",3,0
E05003222 : Morland,"1,300","1,283",7,0
E05003223 : Orton with Tebay,"1,364","1,350",11,0
E05003224 : Penrith Carleton,"1,540","1,524",5,1
E05003225 : Penrith East,"2,684","2,649",19,0
E05003226 : Penrith North,"4,124","4,048",46,3
E05003227 : Penrith Pategill,"1,398","1,385",6,0
E05003228 : Penrith South,"2,496","2,465",22,1
E05003229 : Penrith West,"3,245","3,180",45,0
E05003230 : Ravenstonedale,976,970,5,0
E05003231 : Shap,"1,394","1,384",4,0
E05003232 : Skelton,"1,497","1,482",10,1
E05003233 : Ullswater,"1,422","1,397",10,3
E05003234 : Warcop,"1,352","1,343",3,1
E05003235 : Ambleside and Grasmere,"3,971","3,885",44,14
E05003236 : Arnside and Beetham,"4,118","4,071",19,5
E05003237 : Broughton,"2,205","2,193",2,1
E05003238 : Burneside,"1,888","1,882",0,1
E05003239 : Burton and Holme,"3,789","3,765",12,0
E05003240 : Cartmel and Grange West,"1,831","1,824",2,0
E05003241 : Coniston and Crake Valley,"1,575","1,568",3,0
E05003242 : Crooklands,"2,176","2,163",3,3
E05003243 : Grange North,"1,903","1,878",14,3
E05003244 : Grange South,"2,211","2,191",8,7
E05003245 : Hawkshead,"1,704","1,682",6,1
E05003246 : Holker,"1,869","1,842",14,6
E05003247 : Kendal Castle,"1,832","1,814",7,1
E05003248 : Kendal Far Cross,"2,056","2,040",4,0
E05003249 : Kendal Fell,"2,358","2,287",26,8
E05003250 : Kendal Heron Hill,"1,953","1,935",5,1
E05003251 : Kendal Highgate,"2,221","2,149",42,10
E05003252 : Kendal Kirkland,"1,935","1,867",44,3
E05003253 : Kendal Mintsfeet,"2,201","2,171",8,1
E05003254 : Kendal Nether,"2,195","2,164",9,5
E05003255 : Kendal Oxenholme and Natland,"1,994","1,944",23,13
E05003256 : Kendal Parks,"2,110","2,081",13,1
E05003257 : Kendal Romney,"2,051","2,019",16,0
E05003258 : Kendal Stonecross,"2,329","2,300",10,4
E05003259 : Kendal Strickland,"1,944","1,919",6,3
E05003260 : Kendal Underley,"2,203","2,167",12,4
E05003261 : Levens,"2,056","2,044",7,0
E05003262 : Low Furness,"1,648","1,634",6,4
E05003263 : Lyth Valley,"2,180","2,147",5,4
E05003264 : Mid Furness,"3,981","3,948",15,3
E05003265 : Milnthorpe,"2,199","2,139",23,7
E05003266 : Sedbergh and Kirkby Lonsdale,"6,369","6,174",131,5
E05003267 : Staveley-in-Cartmel,"1,991","1,970",5,1
E05003268 : Staveley-in-Westmorland,"2,116","2,089",8,5
E05003269 : Ulverston Central,"1,924","1,890",19,1
E05003270 : Ulverston East,"2,268","2,235",15,2
E05003271 : Ulverston North,"1,997","1,954",18,5
E05003272 : Ulverston South,"1,717","1,710",2,1
E05003273 : Ulverston Town,"1,833","1,784",27,2
E05003274 : Ulverston West,"1,939","1,915",13,4
E05003275 : Whinfell,"2,010","1,989",5,1
E05003276 : Windermere Applethwaite and Troutbeck,"2,253","2,169",44,7
E05003277 : Windermere Bowness North,"2,035","2,001",18,3
E05003278 : Windermere Bowness South,"2,271","2,180",46,18
E05003279 : Windermere Town,"2,249","2,189",28,15
E05000650 : Astley Bridge,"13,807","12,073","1,336",120
E05000651 : Bradshaw,"11,551","11,126",128,163
E05000652 : Breightmet,"13,584","12,842",349,150
E05000653 : Bromley Cross,"13,890","13,550",144,27
E05000654 : Crompton,"15,401","9,283","5,185",357
E05000655 : Farnworth,"15,793","13,772","1,433",175
E05000656 : Great Lever,"14,467","6,916","6,296",662
E05000657 : Halliwell,"13,929","8,342","4,390",584
E05000658 : Harper Green,"14,478","10,903","2,835",352
E05000659 : Heaton and Lostock,"13,564","10,900","2,247",106
E05000660 : Horwich and Blackrod,"12,741","12,277",252,42
E05000661 : Horwich North East,"12,327","11,931",198,47
E05000662 : Hulton,"13,748","11,311","1,874",211
E05000663 : Kearsley,"14,212","13,582",302,106
E05000664 : Little Lever and Darcy Lever,"12,799","12,201",309,58
E05000665 : Rumworth,"16,250","5,580","8,956",891
E05000666 : Smithills,"14,011","12,668",805,219
E05000667 : Tonge with the Haulgh,"13,126","11,427","1,068",297
E05000668 : Westhoughton North and Chew Moor,"14,179","13,528",393,45
E05000669 : Westhoughton South,"12,929","12,433",249,40
E05000670 : Besses,"10,664","9,420",484,348
E05000671 : Church,"10,345","9,698",437,52
E05000672 : East,"10,579","7,655","2,402",168
E05000673 : Elton,"11,464","10,667",470,79
E05000674 : Holyrood,"11,162","9,893",734,153
E05000675 : Moorside,"11,985","9,954","1,485",210
E05000676 : North Manor,"9,859","9,630",83,24
E05000677 : Pilkington Park,"9,787","8,873",582,73
E05000678 : Radcliffe East,"11,301","10,492",492,65
E05000679 : Radcliffe North,"11,171","10,729",240,66
E05000680 : Radcliffe West,"11,137","10,324",387,117
E05000681 : Ramsbottom,"11,717","11,208",281,41
E05000682 : Redvales,"11,483","8,481","2,538",111
E05000683 : St Mary's,"10,158","9,045",625,166
E05000684 : Sedgley,"12,970","10,623","1,579",160
E05000685 : Tottington,"9,786","9,542",124,18
E05000686 : Unsworth,"9,492","8,798",464,42
E05000687 : Ancoats and Clayton,"16,141","12,406","1,283","1,537"
E05000688 : Ardwick,"19,250","8,359","5,287","3,388"
E05000689 : Baguley,"14,794","12,574",794,603
E05000690 : Bradford,"15,784","10,781","1,529","2,439"
E05000691 : Brooklands,"14,362","12,405",843,443
E05000692 : Burnage,"15,227","10,073","3,293",622
E05000693 : Charlestown,"14,332","12,024",654,"1,037"
E05000694 : Cheetham,"22,562","8,400","9,426","2,395"
E05000695 : Chorlton,"14,138","11,621","1,419",350
E05000696 : Chorlton Park,"15,147","11,422","1,465",799
E05000697 : City Centre,"17,861","12,140","3,808",423
E05000698 : Crumpsall,"15,959","8,513","5,113",891
E05000699 : Didsbury East,"14,333","11,380","1,683",302
E05000700 : Didsbury West,"12,455","10,507","1,027",212
E05000701 : Fallowfield,"15,211","9,413","2,982","1,062"
E05000702 : Gorton North,"16,440","11,000","1,982","2,436"
E05000703 : Gorton South,"19,615","11,297","4,479","2,404"
E05000704 : Harpurhey,"17,652","12,553","1,480","2,560"
E05000705 : Higher Blackley,"13,686","11,596",766,774
E05000706 : Hulme,"16,907","9,605","2,855","2,504"
E05000707 : Levenshulme,"15,430","9,085","4,297",782
E05000708 : Longsight,"15,429","4,189","8,527","1,506"
E05000709 : Miles Platting and Newton Heath,"14,963","12,088",819,"1,215"
E05000710 : Moss Side,"18,902","6,199","3,497","6,520"
E05000711 : Moston,"14,518","12,538",549,919
E05000712 : Northenden,"14,771","12,608",857,566
E05000713 : Old Moat,"14,490","10,631","1,723",711
E05000714 : Rusholme,"13,643","5,870","5,449","1,111"
E05000715 : Sharston,"16,754","14,286","1,049",576
E05000716 : Whalley Range,"15,430","7,442","4,745","1,559"
E05000717 : Withington,"13,422","10,336","1,716",356
E05000718 : Woodhouse Park,"13,519","11,768",590,482
E05000719 : Alexandra,"12,145","7,875","3,394",377
E05000720 : Chadderton Central,"10,435","9,203",931,130
E05000721 : Chadderton North,"11,031","8,652","2,096",68
E05000722 : Chadderton South,"11,038","10,061",584,122
E05000723 : Coldhurst,"13,201","3,569","8,801",473
E05000724 : Crompton,"10,605","10,185",250,31
E05000725 : Failsworth East,"10,473","10,037",212,56
E05000726 : Failsworth West,"10,207","9,706",170,113
E05000727 : Hollinwood,"10,920","9,653",880,150
E05000728 : Medlock Vale,"12,359","7,493","4,467",145
E05000729 : Royton North,"10,321","10,050",120,41
E05000730 : Royton South,"10,963","10,250",480,59
E05000731 : Saddleworth North,"9,695","9,437",124,26
E05000732 : Saddleworth South,"9,966","9,720",119,24
E05000733 : Saddleworth West and Lees,"11,094","10,770",125,39
E05000734 : St James',"11,653","11,008",157,188
E05000735 : St Mary's,"13,954","4,746","8,513",326
E05000736 : Shaw,"10,460","9,835",438,49
E05000737 : Waterhead,"12,029","9,106","2,437",162
E05000738 : Werneth,"12,348","2,970","8,867",218
E05000739 : Balderstone and Kirkholt,"10,422","8,856","1,061",261
E05000740 : Bamford,"9,693","7,737","1,728",71
E05000741 : Castleton,"10,159","8,840","1,041",80
E05000742 : Central Rochdale,"11,304","4,394","6,238",292
E05000743 : East Middleton,"10,445","9,920",216,117
E05000744 : Healey,"10,411","8,658","1,459",74
E05000745 : Hopwood Hall,"11,604","10,888",324,186
E05000746 : Kingsway,"11,983","7,349","4,041",255
E05000747 : Littleborough Lakeside,"9,280","9,074",87,17
E05000748 : Milkstone and Deeplish,"11,515","2,808","7,896",360
E05000749 : Milnrow and Newhey,"10,219","9,928",106,27
E05000750 : Norden,"9,766","8,869",735,15
E05000751 : North Heywood,"10,087","9,542",257,123
E05000752 : North Middleton,"10,220","9,770",121,132
E05000753 : Smallbridge and Firgrove,"11,469","8,478","2,633",105
E05000754 : South Middleton,"9,650","9,152",200,137
E05000755 : Spotland and Falinge,"10,805","7,653","2,730",117
E05000756 : Wardle and West Littleborough,"10,397","9,851",382,53
E05000757 : West Heywood,"10,874","10,507",117,94
E05000758 : West Middleton,"11,396","10,600",258,254
E05000759 : Barton,"12,321","11,088",541,268
E05000760 : Boothstown and Ellenbrook,"9,599","8,936",399,47
E05000761 : Broughton,"13,869","11,093",927,"1,148"
E05000762 : Cadishead,"10,264","9,774",238,68
E05000763 : Claremont,"9,891","9,259",351,102
E05000764 : Eccles,"11,217","9,796",715,142
E05000765 : Irlam,"9,803","9,392",159,83
E05000766 : Irwell Riverside,"12,901","10,534",911,866
E05000767 : Kersal,"12,694","11,181",494,369
E05000768 : Langworthy,"12,935","11,051",607,775
E05000769 : Little Hulton,"12,851","12,044",195,363
E05000770 : Ordsall,"14,194","11,389","1,298",747
E05000771 : Pendlebury,"13,069","12,019",406,328
E05000772 : Swinton North,"11,108","10,414",290,218
E05000773 : Swinton South,"11,325","10,665",271,164
E05000774 : Walkden North,"11,647","11,020",211,168
E05000775 : Walkden South,"10,237","9,808",215,62
E05000776 : Weaste and Seedley,"11,906","10,509",681,381
E05000777 : Winton,"12,067","11,320",243,218
E05000778 : Worsley,"10,035","9,570",277,24
E05000779 : Bramhall North,"13,033","11,794",805,73
E05000780 : Bramhall South,"11,971","11,389",368,29
E05000781 : Bredbury and Woodley,"13,593","13,275",128,38
E05000782 : Bredbury Green and Romiley,"14,139","13,685",154,41
E05000783 : Brinnington and Central,"14,999","13,823",554,221
E05000784 : Cheadle and Gatley,"14,698","11,944","2,012",103
E05000785 : Cheadle Hulme North,"12,954","11,862",626,106
E05000786 : Cheadle Hulme South,"13,525","12,231",842,99
E05000787 : Davenport and Cale Green,"14,924","13,617",751,159
E05000788 : Edgeley and Cheadle Heath,"14,176","13,216",561,107
E05000789 : Hazel Grove,"14,035","13,357",368,68
E05000790 : Heald Green,"12,440","10,005","2,024",76
E05000791 : Heatons North,"13,488","11,953",987,131
E05000792 : Heatons South,"13,966","11,561","1,708",131
E05000793 : Manor,"13,474","12,977",215,47
E05000794 : Marple North,"12,277","11,984",121,32
E05000795 : Marple South,"11,409","11,129",122,35
E05000796 : Offerton,"13,720","13,122",308,69
E05000797 : Reddish North,"14,458","13,493",325,199
E05000798 : Reddish South,"13,594","12,685",419,133
E05000799 : Stepping Hill,"12,402","11,717",364,61
E05000800 : Ashton Hurst,"11,503","9,819","1,370",111
E05000801 : Ashton St Michael's,"11,767","9,530","1,839",145
E05000802 : Ashton Waterloo,"11,246","9,568","1,363",83
E05000803 : Audenshaw,"11,419","10,698",435,101
E05000804 : Denton North East,"11,169","10,662",243,83
E05000805 : Denton South,"11,074","10,599",157,117
E05000806 : Denton West,"11,635","11,110",245,70
E05000807 : Droylsden East,"11,691","10,903",378,179
E05000808 : Droylsden West,"11,343","10,863",184,111
E05000809 : Dukinfield,"12,483","11,772",449,91
E05000810 : Dukinfield Stalybridge,"10,855","10,400",276,40
E05000811 : Hyde Godley,"11,465","10,307",908,67
E05000812 : Hyde Newton,"13,394","12,515",592,81
E05000813 : Hyde Werneth,"11,424","9,198","2,022",49
E05000814 : Longdendale,"9,950","9,658",97,79
E05000815 : Mossley,"10,921","10,568",161,44
E05000816 : St Peter's,"12,254","8,613","3,135",230
E05000817 : Stalybridge North,"12,705","12,117",347,79
E05000818 : Stalybridge South,"11,026","10,529",352,24
E05000819 : Altrincham,"11,477","10,425",610,95
E05000820 : Ashton upon Mersey,"9,693","9,116",260,90
E05000821 : Bowdon,"9,228","8,403",522,44
E05000822 : Broadheath,"12,538","11,089",906,148
E05000823 : Brooklands,"10,434","9,349",647,108
E05000824 : Bucklow-St Martins,"10,358","9,720",163,174
E05000825 : Clifford,"11,892","4,208","4,275","2,261"
E05000826 : Davyhulme East,"9,722","9,127",256,139
E05000827 : Davyhulme West,"9,832","9,388",181,96
E05000828 : Flixton,"10,786","10,373",167,73
E05000829 : Gorse Hill,"11,894","9,151","1,146",822
E05000830 : Hale Barns,"9,736","8,094","1,165",63
E05000831 : Hale Central,"10,350","9,669",361,49
E05000832 : Longford,"11,952","7,101","3,091",975
E05000833 : Priory,"10,481","9,431",674,91
E05000834 : St Mary's,"11,775","10,320",685,273
E05000835 : Sale Moor,"10,323","9,440",430,130
E05000836 : Stretford,"11,172","8,908","1,189",544
E05000837 : Timperley,"11,061","10,499",337,52
E05000838 : Urmston,"11,141","10,287",355,184
E05000839 : Village,"10,733","9,736",553,129
E05000840 : Abram,"15,020","14,554",169,113
E05000841 : Ashton,"12,199","12,044",51,25
E05000842 : Aspull New Springs Whelley,"12,728","12,507",95,20
E05000843 : Astley Mosley Common,"11,270","10,925",105,53
E05000844 : Atherleigh,"11,581","11,187",170,70
E05000845 : Atherton,"14,772","14,306",166,145
E05000846 : Bryn,"11,662","11,530",51,9
E05000847 : Douglas,"12,892","12,432",179,96
E05000848 : Golborne and Lowton West,"11,914","11,690",87,58
E05000849 : Hindley,"13,385","13,090",101,63
E05000850 : Hindley Green,"11,186","11,017",44,31
E05000851 : Ince,"13,486","13,024",157,139
E05000852 : Leigh East,"12,324","11,712",305,119
E05000853 : Leigh South,"14,011","13,619",168,78
E05000854 : Leigh West,"14,939","14,363",254,110
E05000855 : Lowton East,"12,617","12,297",160,21
E05000856 : Orrell,"11,513","11,345",77,24
E05000857 : Pemberton,"13,982","13,645",109,63
E05000858 : Shevington with Lower Ground,"11,482","11,313",76,21
E05000859 : Standish with Langtree,"12,182","11,840",165,48
E05000860 : Tyldesley,"14,341","13,871",167,138
