KS201EW - Ethnic group,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All usual residents,White,Asian/Asian British,Black/African/Caribbean/Black British
E05008678 : Helsby,"4,972","4,876",49,5
E05008679 : Hoole,"9,359","8,937",209,62
E05008680 : Kingsley,"4,222","4,180",19,2
E05008681 : Lache,"5,760","5,519",108,32
E05008682 : Ledsham and Manor,"7,796","7,626",86,12
E05008683 : Little Neston and Burton,"8,485","8,377",38,6
E05008684 : Malpas,"3,975","3,939",9,6
E05008685 : Marbury,"12,069","11,928",47,19
E05008686 : Neston,"4,329","4,206",56,5
E05008687 : Netherpool,"3,287","3,227",15,10
E05008688 : Newton,"9,556","9,027",306,65
E05008689 : Parkgate,"3,591","3,507",32,3
E05008690 : Rossmore,"3,808","3,717",46,8
E05008691 : St Paul's,"9,256","9,114",49,20
E05008692 : Saughall and Mollington,"4,463","4,364",39,11
E05008693 : Shakerley,"4,214","4,100",73,3
E05008694 : Strawberry,"5,086","4,993",56,10
E05008695 : Sutton,"9,176","8,977",116,12
E05008696 : Tarporley,"4,398","4,347",18,9
E05008697 : Tarvin and Kelsall,"8,217","8,100",45,11
E05008698 : Tattenhall,"4,374","4,326",17,6
E05008699 : Upton,"8,905","8,416",279,77
E05008700 : Weaver and Cuddington,"12,779","12,577",81,13
E05008701 : Whitby,"8,102","7,882",128,11
E05008702 : Willaston and Thornton,"3,825","3,769",7,8
E05008703 : Winnington and Castle,"9,271","8,943",179,27
E05008704 : Winsford Over and Verdin,"13,414","13,095",139,23
E05008705 : Winsford Swanlow and Dene,"9,012","8,823",94,19
E05008706 : Winsford Wharton,"9,765","9,572",91,25
E05008707 : Witton and Rudheath,"8,321","8,144",75,14
E05001577 : Appleton,"6,789","6,637",71,4
E05001578 : Beechwood,"3,673","3,610",19,3
E05001579 : Birchfield,"6,909","6,701",124,13
E05001580 : Broadheath,"6,164","6,099",12,10
E05001581 : Halton Castle,"6,138","5,994",45,8
E05001582 : Daresbury,"4,501","4,374",71,5
E05001583 : Ditton,"7,326","7,209",27,14
E05001584 : Farnworth,"7,308","7,150",58,15
E05001585 : Grange,"6,923","6,787",55,8
E05001586 : Hale,"1,841","1,805",6,7
E05001587 : Halton Brook,"6,605","6,519",24,15
E05001588 : Halton Lea,"6,670","6,482",52,33
