KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05007274 : College,"4,681",529,374,"2,265"
E05007275 : Court,"5,258","1,049",732,"1,595"
E05007276 : Cuddington,"4,880",739,625,"1,681"
E05007277 : Ewell,"4,595",723,511,"1,714"
E05007278 : Ewell Court,"4,549","1,024",677,"1,153"
E05007279 : Nonsuch,"4,382",479,422,"1,954"
E05007280 : Ruxley,"4,813",996,737,"1,337"
E05007281 : Stamford,"4,724",657,511,"2,069"
E05007282 : Stoneleigh,"3,902",568,583,"1,227"
E05007283 : Town,"5,880",818,588,"2,268"
E05007284 : West Ewell,"5,001",864,769,"1,506"
E05007285 : Woodcote,"4,566",587,436,"2,003"
E05007286 : Ash South and Tongham,"6,316","1,318",953,"1,687"
E05007287 : Ash Vale,"4,547",710,664,"1,493"
E05007288 : Ash Wharf,"5,056","1,141",740,"1,318"
E05007289 : Burpham,"4,470",440,426,"2,130"
E05007290 : Christchurch,"4,134",316,249,"2,389"
E05007291 : Clandon and Horsley,"6,919",785,519,"3,444"
E05007292 : Effingham,"2,172",282,245,813
E05007293 : Friary and St Nicolas,"7,811",667,556,"4,062"
E05007294 : Holy Trinity,"6,585",476,380,"3,899"
E05007295 : Lovelace,"2,181",383,254,774
E05007296 : Merrow,"6,381",814,578,"2,915"
E05007297 : Normandy,"2,489",554,324,805
E05007298 : Onslow,"8,561",606,508,"3,180"
E05007299 : Pilgrims,"2,041",261,173,910
E05007300 : Pirbright,"2,819",250,538,958
E05007301 : Send,"3,409",521,369,"1,332"
E05007302 : Shalford,"4,545",765,427,"1,940"
E05007303 : Stoke,"5,000","1,417",712,"1,180"
E05007304 : Stoughton,"7,972",909,994,"3,036"
E05007305 : Tillingbourne,"4,479",531,471,"1,951"
E05007306 : Westborough,"7,717","1,661","1,019","1,855"
E05007307 : Worplesdon,"6,985","1,186",921,"2,425"
E05007308 : Ashtead Common,"3,282",454,366,"1,362"
E05007309 : Ashtead Park,"3,324",402,320,"1,490"
E05007310 : Ashtead Village,"4,761",710,438,"2,088"
E05007311 : Beare Green,"1,582",380,225,395
E05007312 : Bookham North,"4,724",688,509,"1,955"
E05007313 : Bookham South,"4,574",809,478,"1,775"
E05007314 : Box Hill and Headley,"1,781",526,226,435
"E05007315 : Brockham, Betchworth and Buckland","3,682",622,413,"1,376"
"E05007316 : Capel, Leigh and Newdigate","3,545",549,435,"1,216"
E05007317 : Charlwood,"1,953",387,328,483
E05007318 : Dorking North,"3,353",458,333,"1,463"
E05007319 : Dorking South,"5,776",795,557,"2,507"
E05007320 : Fetcham East,"3,167",397,389,"1,237"
E05007321 : Fetcham West,"3,309",405,385,"1,255"
E05007322 : Holmwoods,"5,139","1,080",846,"1,390"
E05007323 : Leatherhead North,"5,672","1,099",853,"1,757"
E05007324 : Leatherhead South,"3,609",506,358,"1,568"
E05007325 : Leith Hill,"1,385",149,125,608
"E05007326 : Mickleham, Westhumble and Pixham","1,650",193,158,744
E05007327 : Okewood,"1,518",221,174,572
E05007328 : Westcott,"1,794",281,213,720
E05007329 : Banstead Village,"7,692","1,608","1,103","2,303"
"E05007330 : Chipstead, Hooley and Woodmansterne","7,004","1,032",976,"2,331"
E05007331 : Earlswood and Whitebushes,"7,015","1,245",909,"2,257"
E05007332 : Horley Central,"6,951","1,363","1,079","1,780"
E05007333 : Horley East,"4,740",564,768,"1,401"
E05007334 : Horley West,"6,325","1,248","1,103","1,442"
E05007335 : Kingswood with Burgh Heath,"5,760",976,719,"1,977"
E05007336 : Meadvale and St John's,"5,940",737,572,"2,708"
E05007337 : Merstham,"6,387","1,296",928,"1,795"
E05007338 : Nork,"6,129",871,784,"2,202"
E05007339 : Preston,"2,186",562,418,435
E05007340 : Redhill East,"8,053",890,858,"3,412"
E05007341 : Redhill West,"6,548","1,101",780,"2,329"
E05007342 : Reigate Central,"5,838",636,546,"2,807"
E05007343 : Reigate Hill,"4,437",457,311,"2,300"
E05007344 : Salfords and Sidlow,"2,175",405,301,636
E05007345 : South Park and Woodhatch,"5,756","1,313",868,"1,560"
E05007346 : Tadworth and Walton,"5,813",838,686,"2,233"
E05007347 : Tattenhams,"5,976","1,221",878,"1,694"
E05007348 : Addlestone Bourneside,"4,582","1,011",721,"1,164"
E05007349 : Addlestone North,"4,765",936,743,"1,341"
E05007350 : Chertsey Meads,"4,934",972,674,"1,566"
E05007351 : Chertsey St Ann's,"5,077","1,401",720,"1,233"
E05007352 : Chertsey South and Row Town,"4,291",885,626,"1,117"
E05007353 : Egham Hythe,"5,206","1,158",851,"1,365"
E05007354 : Egham Town,"5,482",768,518,"1,813"
E05007355 : Englefield Green East,"4,847",240,297,"1,479"
E05007356 : Englefield Green West,"4,376",817,399,"1,163"
E05007357 : Foxhills,"4,649",772,540,"1,676"
E05007358 : New Haw,"4,681",894,683,"1,280"
E05007359 : Thorpe,"4,580",866,698,"1,290"
E05007360 : Virginia Water,"4,809",625,411,"2,166"
E05007361 : Woodham,"4,374",831,609,"1,292"
E05007362 : Ashford Common,"6,538","1,423","1,237","1,298"
E05007363 : Ashford East,"5,909","1,272","1,051","1,320"
E05007364 : Ashford North and Stanwell South,"6,482","1,449","1,152","1,476"
E05007365 : Ashford Town,"5,935","1,103",966,"1,560"
E05007366 : Halliford and Sunbury West,"5,014","1,151",726,"1,362"
E05007367 : Laleham and Shepperton Green,"6,521","1,262","1,075","1,637"
E05007368 : Riverside and Laleham,"5,589",918,794,"1,718"
E05007369 : Shepperton Town,"5,689",994,775,"1,748"
E05007370 : Staines,"6,513",945,810,"2,482"
E05007371 : Staines South,"5,714","1,383",951,"1,281"
E05007372 : Stanwell North,"6,216","1,645","1,235","1,044"
E05007373 : Sunbury Common,"6,392","1,509","1,082","1,378"
E05007374 : Sunbury East,"5,577",893,692,"1,958"
E05007375 : Bagshot,"4,535",725,634,"1,453"
E05007376 : Bisley,"3,272",480,487,991
E05007377 : Chobham,"3,143",565,384,"1,087"
E05007378 : Frimley,"4,968",863,706,"1,628"
E05007379 : Frimley Green,"4,616",650,659,"1,486"
E05007380 : Heatherside,"4,780",434,639,"1,887"
E05007381 : Lightwater,"5,509",740,725,"2,058"
E05007382 : Mytchett and Deepcut,"5,758",964,921,"1,638"
E05007383 : Old Dean,"3,541","1,013",665,613
E05007384 : Parkside,"5,046",547,623,"1,924"
E05007385 : St Michaels,"4,235",831,550,"1,310"
E05007386 : St Pauls,"4,624",399,528,"2,073"
E05007387 : Town,"4,027",512,455,"1,623"
E05007388 : Watchetts,"4,216",772,564,"1,384"
E05007389 : West End,"3,544",472,442,"1,291"
E05007390 : Windlesham,"3,488",420,374,"1,441"
E05007391 : Chaldon,"1,441",244,133,547
E05007392 : Dormansland and Felcourt,"3,376",527,398,"1,250"
E05007393 : Felbridge,"1,739",245,220,618
E05007394 : Godstone,"4,740",960,683,"1,347"
E05007395 : Harestone,"3,369",384,368,"1,385"
E05007396 : Limpsfield,"2,917",322,247,"1,373"
E05007397 : Lingfield and Crowhurst,"3,384",714,497,995
E05007398 : Oxted North and Tandridge,"4,638",669,473,"1,887"
E05007399 : Oxted South,"4,768",890,639,"1,532"
E05007400 : Portley,"3,618",620,530,"1,054"
E05007401 : Queens Park,"3,062",616,425,889
E05007402 : Tatsfield and Titsey,"1,516",257,210,468
E05007403 : Valley,"3,339",568,458,"1,046"
E05007404 : Warlingham East and Chelsham and Farleigh,"4,599","1,090",747,"1,112"
E05007405 : Warlingham West,"2,814",413,371,"1,028"
E05007406 : Westway,"3,357",645,546,905
E05007407 : Whyteleafe,"3,165",408,537,964
E05007408 : Woldingham,"1,655",152,168,710
E05007409 : Bletchingley and Nutfield,"4,576",787,563,"1,652"
"E05007410 : Burstow, Horne and Outwood","4,849",956,723,"1,301"
"E05007411 : Alfold, Cranleigh Rural and Ellens Green","1,591",326,171,513
E05007412 : Blackheath and Wonersh,"1,500",175,115,771
"E05007413 : Bramley, Busbridge and Hascombe","3,655",515,337,"1,611"
E05007414 : Chiddingfold and Dunsfold,"3,153",475,318,"1,246"
E05007415 : Cranleigh East,"5,248",929,687,"1,719"
E05007416 : Cranleigh West,"3,422",488,378,"1,230"
E05007417 : Elstead and Thursley,"3,147",527,313,"1,226"
E05007418 : Ewhurst,"1,846",231,195,666
E05007419 : Farnham Bourne,"3,208",276,231,"1,739"
E05007420 : Farnham Castle,"3,637",546,324,"1,289"
E05007421 : Farnham Firgrove,"3,405",498,291,"1,585"
E05007422 : Farnham Hale and Heath End,"3,515",530,388,"1,343"
E05007423 : Farnham Moor Park,"4,071",558,318,"1,791"
E05007424 : Farnham Shortheath and Boundstone,"3,231",441,369,"1,322"
E05007425 : Farnham Upper Hale,"3,365",613,476,"1,086"
E05007426 : Farnham Weybourne and Badshot Lea,"3,520",659,449,"1,119"
E05007427 : Farnham Wrecclesham and Rowledge,"3,564",488,354,"1,439"
"E05007428 : Frensham, Dockenfield and Tilford","3,314",441,311,"1,485"
E05007429 : Godalming Binscombe,"3,322",866,498,769
E05007430 : Godalming Central and Ockford,"3,774",717,427,"1,448"
E05007431 : Godalming Charterhouse,"3,272",294,224,"1,626"
E05007432 : Godalming Farncombe and Catteshall,"3,798",717,437,"1,419"
E05007433 : Godalming Holloway,"3,357",207,234,"1,911"
E05007434 : Haslemere Critchmere and Shottermill,"4,846",850,506,"1,820"
E05007435 : Haslemere East and Grayswood,"5,210",680,497,"2,395"
E05007436 : Hindhead,"3,527",448,346,"1,467"
E05007437 : Milford,"3,295",576,395,"1,155"
E05007438 : Shamley Green and Cranleigh North,"1,392",211,130,618
E05007439 : Witley and Hambledon,"3,293",508,337,"1,317"
E05007440 : Brookwood,"1,984",218,182,936
E05007441 : Byfleet,"6,139","1,121",972,"1,675"
E05007442 : Goldsworth East,"6,402",970,801,"2,315"
E05007443 : Goldsworth West,"4,113",601,685,"1,207"
E05007444 : Hermitage and Knaphill South,"4,353",747,701,"1,328"
E05007445 : Horsell East and Woodham,"3,939",351,311,"2,013"
E05007446 : Horsell West,"5,735",815,597,"2,503"
E05007447 : Kingfield and Westfield,"4,426","1,042",611,"1,244"
E05007448 : Knaphill,"7,762","1,154","1,045","2,715"
E05007449 : Maybury and Sheerwater,"8,155","2,086","1,169","1,978"
E05007450 : Mayford and Sutton Green,"2,020",208,188,909
E05007451 : Mount Hermon East,"4,238",475,322,"2,198"
E05007452 : Mount Hermon West,"5,117",491,349,"2,718"
E05007453 : Old Woking,"2,422",445,358,758
E05007454 : Pyrford,"4,064",453,356,"1,951"
E05007455 : St John's and Hook Heath,"3,830",390,349,"1,895"
E05007456 : West Byfleet,"4,486",475,475,"2,031"
E05007562 : Buckingham,"3,195",598,447,920
E05007563 : Churchill,"3,709","1,122",680,624
E05007564 : Cokeham,"3,559","1,034",609,575
E05007565 : Eastbrook,"3,645",959,643,681
E05007566 : Hillside,"3,470",973,607,558
E05007567 : Manor,"3,449",730,568,799
E05007568 : Marine,"3,710",566,495,"1,341"
E05007569 : Mash Barn,"3,567",988,652,581
E05007570 : Peverel,"3,602","1,084",620,520
E05007571 : St Mary's,"3,639",891,502,"1,003"
E05007572 : St Nicolas,"3,233",559,404,"1,170"
E05007573 : Southlands,"3,158","1,039",502,482
E05007574 : Southwick Green,"3,664",827,556,965
E05007575 : Widewater,"4,979","1,566",778,903
E05007576 : Aldwick East,"4,316","1,046",555,"1,128"
E05007577 : Aldwick West,"4,237","1,110",532,"1,124"
E05007578 : Angmering,"6,272","1,283",892,"1,675"
E05007579 : Arundel,"3,683",666,424,"1,303"
E05007580 : Barnham,"7,140","1,479",899,"2,063"
E05007581 : Beach,"4,118",974,594,916
E05007582 : Bersted,"6,908","1,944","1,109","1,078"
E05007583 : Brookfield,"4,875","1,107",850,919
E05007584 : East Preston with Kingston,"6,253","1,584",790,"1,684"
E05007585 : Felpham East,"4,095",861,573,"1,068"
E05007586 : Felpham West,"4,208",977,576,"1,069"
E05007587 : Ferring,"4,046","1,019",520,"1,115"
E05007588 : Findon,"2,196",440,322,689
E05007589 : Ham,"4,516","1,369",818,578
E05007590 : Hotham,"5,809","1,423",710,"1,061"
E05007591 : Marine,"4,844","1,263",675,"1,023"
E05007592 : Middleton-on-Sea,"4,393","1,089",591,"1,063"
E05007593 : Orchard,"4,945","1,328",804,796
E05007594 : Pagham and Rose Green,"6,529","2,067",955,"1,110"
E05007595 : Pevensey,"4,804","1,414",698,851
E05007596 : River,"4,571","1,281",643,941
E05007597 : Rustington East,"4,567","1,212",575,"1,143"
E05007598 : Rustington West,"6,961","1,799",955,"1,562"
E05007599 : Walberton,"2,361",383,275,839
E05007600 : Wick with Toddington,"4,629","1,182",771,797
E05007601 : Yapton,"4,888","1,064",765,"1,137"
E05007602 : Bosham,"3,567",596,344,"1,509"
E05007603 : Boxgrove,"1,868",344,201,653
E05007604 : Bury,"1,827",246,188,695
E05007605 : Chichester East,"7,123","1,304",905,"2,086"
E05007606 : Chichester North,"5,865",599,493,"2,309"
E05007607 : Chichester South,"5,793","1,020",671,"1,934"
E05007608 : Chichester West,"4,156",944,444,"1,272"
E05007609 : Donnington,"1,839",259,198,745
E05007610 : Easebourne,"2,032",359,245,724
E05007611 : East Wittering,"4,353","1,130",589,"1,055"
E05007612 : Fernhurst,"4,117",635,430,"1,642"
E05007613 : Fishbourne,"1,945",306,183,769
E05007614 : Funtington,"2,207",318,224,940
E05007615 : Harting,"1,695",287,163,667
E05007616 : Lavant,"1,972",405,221,672
E05007617 : Midhurst,"4,212","1,023",531,"1,131"
E05007618 : North Mundham,"1,786",327,187,641
E05007619 : Petworth,"3,944",912,525,"1,134"
E05007620 : Plaistow,"3,822",599,487,"1,373"
E05007621 : Rogate,"2,024",321,179,799
E05007622 : Selsey North,"5,457","1,794",797,886
E05007623 : Selsey South,"3,748","1,124",452,776
E05007624 : Sidlesham,"2,010",427,246,641
E05007625 : Southbourne,"6,153","1,193",744,"1,858"
E05007626 : Stedham,"1,764",310,179,657
E05007627 : Tangmere,"2,078",324,295,589
E05007628 : West Wittering,"3,919",779,456,"1,298"
E05007629 : Westbourne,"1,848",344,192,669
E05007630 : Wisborough Green,"2,037",337,266,696
E05007631 : Bewbush,"6,771","1,286","1,547",978
E05007632 : Broadfield North,"5,093","1,121","1,053",823
E05007633 : Broadfield South,"4,940","1,048","1,049",777
E05007634 : Furnace Green,"4,647","1,032",768,978
E05007635 : Gossops Green,"4,255",944,800,768
E05007636 : Ifield,"7,142","1,804","1,284","1,280"
E05007637 : Langley Green,"6,445","1,562","1,132","1,141"
E05007638 : Maidenbower,"6,986",645,"1,207","2,263"
E05007639 : Northgate,"4,402",934,786,936
E05007640 : Pound Hill North,"5,419",781,867,"1,565"
E05007641 : Pound Hill South and Worth,"6,650",970,"1,057","2,028"
E05007642 : Southgate,"6,934","1,538","1,164","1,557"
E05007643 : Three Bridges,"5,932","1,066",908,"1,554"
E05007644 : Tilgate,"4,774","1,311",920,711
E05007645 : West Green,"4,159",953,715,855
E05007646 : Billingshurst and Shipley,"7,469","1,253","1,106","2,321"
"E05007647 : Bramber, Upper Beeding and Woodmancote","4,401",753,604,"1,361"
E05007648 : Broadbridge Heath,"2,492",404,424,630
E05007649 : Chanctonbury,"6,701",986,819,"2,392"
E05007650 : Chantry,"7,956","1,537",900,"2,692"
"E05007651 : Cowfold, Shermanbury and West Grinstead","4,502",695,594,"1,423"
E05007652 : Denne,"4,880",869,680,"1,476"
E05007653 : Forest,"3,072",368,345,"1,269"
E05007654 : Henfield,"4,270",878,528,"1,354"
E05007655 : Holbrook East,"4,381",502,596,"1,630"
E05007656 : Holbrook West,"4,659",637,622,"1,563"
E05007657 : Horsham Park,"6,687","1,260",825,"2,164"
"E05007658 : Itchingfield, Slinfold and Warnham","4,634",814,583,"1,549"
E05007659 : Nuthurst,"2,346",289,282,921
E05007660 : Pulborough and Coldwatham,"5,173",963,722,"1,498"
E05007661 : Roffey North,"5,103",937,751,"1,462"
E05007662 : Roffey South,"5,364",876,770,"1,561"
E05007663 : Rudgwick,"2,224",314,307,792
E05007664 : Rusper and Colgate,"2,159",315,306,714
E05007665 : Southwater,"8,055","1,016","1,159","2,400"
E05007666 : Steyning,"5,259",893,621,"1,910"
E05007667 : Trafalgar,"4,971",848,611,"1,732"
E05007668 : Ardingly and Balcombe,"4,747",697,607,"1,663"
E05007669 : Ashurst Wood,"2,289",327,331,766
E05007670 : Bolney,"2,296",264,291,895
E05007671 : Burgess Hill Dunstall,"4,011",483,679,"1,149"
E05007672 : Burgess Hill Franklands,"4,120",607,525,"1,372"
E05007673 : Burgess Hill Leylands,"3,984",824,613,949
E05007674 : Burgess Hill Meeds,"3,918",742,609,996
E05007675 : Burgess Hill St Andrews,"3,735",748,569,947
E05007676 : Burgess Hill Victoria,"4,391",742,675,"1,140"
E05007677 : Copthorne and Worth,"4,136",636,670,"1,194"
E05007678 : Crawley Down and Turners Hill,"5,866",968,791,"1,723"
E05007679 : Cuckfield,"4,111",444,458,"1,711"
E05007680 : East Grinstead Ashplats,"4,511",738,757,"1,171"
E05007681 : East Grinstead Baldwins,"4,259",686,688,"1,175"
E05007682 : East Grinstead Herontye,"4,011",450,591,"1,358"
E05007683 : East Grinstead Imberhorne,"3,605",505,523,"1,153"
E05007684 : East Grinstead Town,"4,396",782,599,"1,388"
E05007685 : Hassocks,"6,303","1,003",748,"2,325"
E05007686 : Haywards Heath Ashenground,"4,459",608,593,"1,539"
E05007687 : Haywards Heath Bentswood,"4,456",797,646,"1,299"
E05007688 : Haywards Heath Franklands,"3,830",475,534,"1,384"
E05007689 : Haywards Heath Heath,"4,557",537,433,"1,983"
E05007690 : Haywards Heath Lucastes,"4,537",419,431,"2,110"
E05007691 : High Weald,"4,237",602,467,"1,639"
E05007692 : Hurstpierpoint and Downs,"6,324",941,747,"2,429"
E05007693 : Lindfield,"5,666",706,578,"2,459"
E05007694 : Broadwater,"7,247","1,543","1,200","1,620"
E05007695 : Castle,"6,516","1,739","1,118","1,129"
E05007696 : Central,"8,304","1,676","1,116","2,368"
E05007697 : Durrington,"4,587","1,236",721,887
E05007698 : Gaisford,"7,339","1,257","1,081","2,029"
E05007699 : Goring,"6,843","1,475",832,"1,947"
E05007700 : Heene,"6,939","1,588",780,"2,050"
E05007701 : Marine,"6,744","1,128",874,"2,255"
E05007702 : Northbrook,"3,774",798,706,689
E05007703 : Offington,"6,394","1,181",834,"1,989"
E05007704 : Salvington,"7,422","1,700","1,113","1,739"
E05007705 : Selden,"6,921","1,605",977,"1,826"
E05007706 : Tarring,"6,941","1,393",968,"1,786"
E05001935 : Abbey,"5,323",538,313,"2,725"
E05001936 : Bathavon North,"5,941",860,540,"2,689"
E05001937 : Bathavon South,"2,399",273,196,"1,187"
E05001938 : Bathavon West,"2,075",318,203,634
E05001939 : Bathwick,"4,505",260,158,"1,408"
E05001940 : Chew Valley North,"1,970",318,195,829
E05001941 : Chew Valley South,"1,940",341,209,739
E05001942 : Clutton,"2,044",397,257,623
E05001943 : Combe Down,"4,325",792,430,"1,624"
E05001944 : Farmborough,"2,132",387,232,769
E05001945 : High Littleton,"2,448",513,331,732
E05001946 : Keynsham East,"4,518",679,582,"1,474"
E05001947 : Keynsham North,"4,257",981,647,"1,026"
E05001948 : Keynsham South,"4,122","1,117",648,865
E05001949 : Kingsmead,"4,926",448,362,"2,149"
E05001950 : Lambridge,"4,421",693,412,"1,891"
E05001951 : Lansdown,"3,875",249,262,"2,070"
E05001952 : Lyncombe,"4,542",483,308,"2,305"
E05001953 : Mendip,"2,154",439,276,741
E05001954 : Midsomer Norton North,"4,724","1,052",674,"1,022"
E05001955 : Midsomer Norton Redfield,"4,237","1,148",618,748
E05001956 : Newbridge,"4,802",685,385,"2,196"
E05001957 : Odd Down,"4,635",872,636,"1,345"
E05001958 : Oldfield,"5,114",821,445,"1,338"
E05001959 : Paulton,"4,306","1,080",708,888
E05001960 : Peasedown,"5,084","1,026",793,"1,323"
E05001961 : Publow and Whitchurch,"2,071",441,336,443
E05001962 : Radstock,"4,385","1,024",730,895
E05001963 : Saltford,"3,393",562,357,"1,288"
E05001964 : Southdown,"4,500","1,144",644,942
E05001965 : Timsbury,"2,195",536,265,641
E05001966 : Twerton,"4,179","1,326",694,644
E05001967 : Walcot,"4,978",456,355,"2,495"
E05001968 : Westfield,"4,625","1,138",863,732
E05001969 : Westmoreland,"5,853",698,406,"1,461"
E05001970 : Weston,"4,369",720,474,"1,651"
E05001971 : Widcombe,"5,072",325,231,"2,378"
E05002113 : Boscombe East,"9,022","1,549","1,136","2,653"
E05002114 : Boscombe West,"8,719","1,837","1,057","2,289"
E05002115 : Central,"10,057","1,242",857,"3,130"
E05002116 : East Cliff and Springbourne,"10,943","1,967","1,330","3,019"
E05002117 : East Southbourne and Tuckton,"8,271","1,669",895,"2,791"
E05002118 : Kinson North,"8,044","2,544","1,323","1,133"
E05002119 : Kinson South,"8,000","2,635","1,434",968
E05002120 : Littledown and Iford,"7,970","1,221","1,048","2,521"
E05002121 : Moordown,"8,077","1,380","1,162","2,063"
E05002122 : Queen's Park,"9,763","1,497","1,154","2,916"
E05002123 : Redhill and Northbourne,"8,066","1,876","1,279","1,603"
E05002124 : Strouden Park,"7,692","1,887","1,268","1,708"
E05002125 : Talbot and Branksome Woods,"8,195","1,159",893,"2,770"
E05002126 : Throop and Muscliff,"6,983","1,336","1,167","1,643"
E05002127 : Wallisdown and Winton West,"8,613","1,784","1,120","1,731"
E05002128 : West Southbourne,"7,738","1,499","1,011","2,315"
E05002129 : Westbourne and West Cliff,"9,640","1,589",937,"3,465"
E05002130 : Winton East,"9,431","1,049","1,034","2,233"
E05001972 : Ashley,"13,127","1,578","1,056","6,410"
E05001973 : Avonmouth,"9,980","2,956","1,755","1,559"
E05001974 : Bedminster,"10,637","2,431","1,336","3,575"
E05001975 : Bishopston,"11,304",895,631,"6,207"
E05001976 : Bishopsworth,"9,218","3,077","1,684","1,134"
E05001977 : Brislington East,"9,438","2,265","1,496","2,130"
E05001978 : Brislington West,"9,233","1,923","1,383","2,477"
E05001979 : Cabot,"14,933",817,750,"6,506"
E05001980 : Clifton,"10,141",485,425,"6,052"
E05001981 : Clifton East,"9,860",299,328,"5,487"
E05001982 : Cotham,"11,483",373,377,"6,068"
E05001983 : Easton,"10,514","2,103","1,316","3,525"
E05001984 : Eastville,"9,984","1,861","1,220","3,130"
E05001985 : Filwood,"8,909","3,696","1,557",919
E05001986 : Frome Vale,"9,741","2,282","1,195","2,280"
E05001987 : Hartcliffe,"8,885","3,215","1,703",883
E05001988 : Henbury,"8,526","2,284","1,348","1,938"
E05001989 : Hengrove,"9,560","2,805","1,697","1,313"
E05001990 : Henleaze,"8,259",825,448,"4,927"
E05001991 : Hillfields,"10,390","2,690","1,682","2,197"
E05001992 : Horfield,"10,661","1,764","1,147","3,875"
E05001993 : Kingsweston,"8,067","2,271","1,322","1,652"
E05001994 : Knowle,"8,983","2,246","1,250","2,491"
E05001995 : Lawrence Hill,"14,327","3,672","1,918","3,629"
E05001996 : Lockleaze,"9,379","2,594","1,274","2,218"
E05001997 : Redland,"9,676",534,421,"5,829"
E05001998 : St George East,"9,911","2,374","1,531","2,009"
E05001999 : St George West,"9,537","2,447","1,358","2,275"
E05002000 : Southmead,"9,185","2,924","1,423","1,767"
E05002001 : Southville,"10,828","1,807",919,"5,066"
E05002002 : Stockwood,"8,883","2,519","1,595","1,300"
E05002003 : Stoke Bishop,"8,030",556,408,"3,745"
E05002004 : Westbury-on-Trym,"8,718","1,133",629,"4,476"
E05002005 : Whitchurch Park,"8,505","3,037","1,664",870
E05002006 : Windmill Hill,"10,841","1,740","1,241","4,702"
E05008199 : Altarnun,"3,436",923,481,719
E05008200 : Bodmin Central,"4,289","1,057",697,805
E05008201 : Bodmin East,"3,382",799,518,715
E05008202 : Bodmin West,"4,215","1,212",727,624
E05008203 : Breage,"4,015",859,515,"1,158"
E05008204 : Bude North and Stratton,"5,270","1,204",757,"1,195"
E05008205 : Bude South,"2,392",676,334,457
E05008206 : Bugle,"3,310",934,469,577
E05008207 : Callington,"3,854",933,608,828
E05008208 : Camborne Central,"3,883","1,019",605,612
E05008209 : Camborne North,"3,467",878,514,629
E05008210 : Camborne South,"2,866",677,379,676
E05008211 : Camborne West,"3,773","1,126",533,681
E05008212 : Camelford,"3,268",807,480,731
E05008213 : Carn Brea North,"4,283","1,179",594,812
E05008214 : Carn Brea South,"3,127",757,499,549
E05008215 : Chacewater and Kenwyn,"3,180",604,366,"1,016"
E05008216 : Colan and Mawgan,"3,613",820,459,878
E05008217 : Constantine,"4,018",694,420,"1,430"
E05008218 : Falmouth Arwenack,"4,146",405,297,"1,312"
E05008219 : Falmouth Boslowick,"3,976",623,495,"1,165"
E05008220 : Falmouth Gyllyngvase,"2,980",385,221,"1,119"
E05008221 : Falmouth Penwerris,"3,726",845,455,937
E05008222 : Falmouth Trescobeas,"3,764",916,495,766
E05008223 : Feock and Kea,"3,863",621,349,"1,643"
E05008224 : Flexbury and Poughill,"3,551",802,485,877
E05008225 : Fowey,"4,008",813,490,"1,149"
E05008226 : Gulval and Heamoor,"3,450",910,510,700
E05008227 : Gunnislake,"3,791",720,469,"1,167"
E05008228 : Gwinear-Gwithian and St Erth,"3,861",890,488,975
E05008229 : Hayle North,"3,858","1,033",529,768
E05008230 : Hayle South,"3,473",981,489,696
E05008231 : Helston Central,"3,635",887,504,837
E05008232 : Helston North,"4,469",762,640,"1,168"
E05008233 : Illogan,"3,472",874,476,736
E05008234 : Kelly Bray,"3,364",611,425,"1,085"
"E05008235 : Ladock, St Clement and St Erme","3,495",569,483,"1,058"
E05008236 : Lanivet,"3,356",741,452,952
E05008237 : Launceston Central,"2,869",679,516,542
E05008238 : Launceston North,"3,244",801,515,716
E05008239 : Launceston South,"3,525",844,541,708
E05008240 : Lelant and Carbis Bay,"3,364",753,445,913
E05008241 : Liskeard Central,"3,746",850,607,720
E05008242 : Liskeard North,"1,573",401,197,350
E05008243 : Liskeard South and Dobwalls,"3,776",930,530,865
E05008244 : Looe East,"3,044",825,409,668
E05008245 : Looe West and Lansallos,"3,072",773,399,758
E05008246 : Lostwithiel,"3,950",888,492,"1,189"
E05008247 : Ludgvan,"3,545",767,411,"1,039"
E05008248 : Mabe,"5,087",692,413,"1,392"
E05008249 : Marazion,"3,830",906,463,"1,072"
E05008250 : Menheniot,"3,068",679,380,800
E05008251 : Mevagissey,"3,768",836,463,"1,052"
E05008252 : Mount Charles,"3,838","1,079",583,665
E05008253 : Mount Hawke and Portreath,"3,636",666,397,"1,237"
E05008254 : Mullion,"3,712",816,450,976
E05008255 : Newlyn and Goonhavern,"4,030",791,531,"1,105"
E05008256 : Newlyn and Mousehole,"3,780",835,465,"1,106"
E05008257 : Newquay Central,"2,694",569,438,544
E05008258 : Newquay Pentire,"3,549",785,436,934
E05008259 : Newquay Treloggan,"3,663",855,587,675
E05008260 : Newquay Tretherras,"2,985",709,372,684
E05008261 : Newquay Treviglas,"3,031",787,457,598
E05008262 : Padstow,"3,759",956,549,902
E05008263 : Pelynt,"3,781",889,480,"1,035"
E05008264 : Penryn East and Mylor,"4,458",756,500,"1,473"
E05008265 : Penryn West,"3,769",765,491,954
E05008266 : Penwithick,"3,465",647,598,669
E05008267 : Penzance Central,"3,692",890,468,983
E05008268 : Penzance East,"3,917",878,593,860
E05008269 : Penzance Promenade,"2,828",722,329,744
E05008270 : Perranporth,"3,610",726,410,"1,170"
E05008271 : Porthleven and Helston South,"3,280",722,424,805
