KS501EW - Qualifications and students,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 and over,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
,,,,
2011 ward,All categories: Highest level of qualification,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 4 qualifications and above
E05008621 : Crewe East,"12,630","3,461","1,731","1,870"
E05008622 : Crewe North,"3,835","1,171",637,521
E05008623 : Crewe St Barnabas,"4,165","1,486",667,490
E05008624 : Crewe South,"9,286","2,154","1,328","1,736"
E05008625 : Crewe West,"8,478","2,288","1,306","1,469"
E05008626 : Dane Valley,"7,575","1,207",747,"3,135"
E05008627 : Disley,"3,674",523,403,"1,417"
E05008628 : Gawsworth,"3,275",595,342,"1,218"
E05008629 : Handforth,"7,487","1,635",964,"2,280"
E05008630 : Haslington,"6,693","1,235",805,"2,129"
E05008631 : High Legh,"3,672",629,425,"1,428"
E05008632 : Knutsford,"10,778","1,717","1,075","4,577"
E05008633 : Leighton,"4,126",510,633,"1,059"
E05008634 : Macclesfield Central,"7,589","1,409",870,"2,470"
E05008635 : Macclesfield East,"3,607",653,434,"1,245"
E05008636 : Macclesfield Hurdsfield,"3,684","1,043",564,774
E05008637 : Macclesfield South,"6,880","1,701",949,"1,709"
E05008638 : Macclesfield Tytherington,"7,230","1,047",755,"2,873"
E05008639 : Macclesfield West and Ivy,"6,790","1,749",953,"1,657"
E05008640 : Middlewich,"10,975","2,220","1,569","2,745"
E05008641 : Mobberley,"4,054",868,421,"1,415"
E05008642 : Nantwich North and West,"7,265","1,807",925,"2,075"
E05008643 : Nantwich South and Stapeley,"7,061","1,140",681,"2,816"
E05008644 : Odd Rode,"7,146","1,576",903,"1,985"
E05008645 : Poynton East and Pott Shrigley,"6,544","1,002",694,"2,569"
E05008646 : Poynton West and Adlington,"7,006","1,009",825,"2,672"
E05008647 : Prestbury,"3,562",411,285,"1,770"
E05008648 : Sandbach Elworth,"3,634",672,438,"1,127"
E05008649 : Sandbach Ettiley Heath and Wheelock,"3,533",537,423,"1,141"
E05008650 : Sandbach Heath and East,"3,627",916,497,909
E05008651 : Sandbach Town,"4,106",768,448,"1,428"
E05008652 : Shavington,"3,302",789,470,794
E05008653 : Sutton,"3,610",682,361,"1,431"
E05008654 : Willaston and Rope,"3,971",596,423,"1,442"
E05008655 : Wilmslow Dean Row,"3,646",317,371,"1,716"
E05008656 : Wilmslow East,"3,501",329,271,"1,830"
E05008657 : Wilmslow Lacey Green,"3,914",807,539,"1,319"
E05008658 : Wilmslow West and Chorley,"7,771",997,697,"3,696"
E05008659 : Wistaston,"7,728","1,321",949,"2,333"
E05008660 : Wrenbury,"3,782",777,416,"1,302"
E05008661 : Wybunbury,"4,181",559,487,"1,659"
E05008662 : Blacon,"10,821","3,498","1,957","1,388"
E05008663 : Boughton,"4,851",838,490,"1,935"
E05008664 : Chester City,"3,594",743,318,"1,185"
E05008665 : Chester Villages,"6,974",944,688,"3,095"
E05008666 : Davenham and Moulton,"10,752","1,842","1,393","3,676"
E05008667 : Dodleston and Huntington,"3,205",446,379,"1,304"
E05008668 : Ellesmere Port Town,"7,250","2,327","1,410",756
E05008669 : Elton,"3,781",851,584,876
E05008670 : Farndon,"3,288",573,350,"1,284"
E05008671 : Frodsham,"7,540","1,443",828,"2,846"
E05008672 : Garden Quarter,"5,047",377,300,"1,367"
