KS402EW - Tenure,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All households,,,,
units,Households,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,All households,Owned,Owned: Owned outright,Social rented,Private rented
E05006637 : Chipping Norton,"2,815","1,875",978,486,382
E05006638 : Ducklington,853,682,352,76,71
E05006639 : Eynsham and Cassington,"2,418","1,778","1,025",291,318
E05006640 : Freeland and Hanborough,"1,657","1,394",749,100,144
"E05006641 : Hailey, Minster Lovell and Leafield","1,657","1,339",717,137,136
"E05006642 : Kingham, Rollright and Enstone","1,629","1,094",628,178,262
E05006643 : Milton-under-Wychwood,871,635,352,86,113
E05006644 : North Leigh,779,629,343,73,59
"E05006645 : Standlake, Aston and Stanton Harcourt","1,663","1,280",661,149,192
E05006646 : Stonesfield and Tackley,"1,674","1,193",678,193,240
E05006647 : The Bartons,816,611,292,74,95
E05006648 : Witney Central,"2,252","1,198",563,644,330
E05006649 : Witney East,"3,198","2,233",789,383,460
E05006650 : Witney North,"1,592","1,244",630,186,135
E05006651 : Witney South,"2,650","1,695",911,495,360
E05006652 : Witney West,"1,729","1,330",389,122,240
E05006653 : Woodstock and Bladon,"1,795","1,260",695,179,306
E05007251 : Claygate,"2,788","2,234","1,144",261,257
E05007252 : Cobham and Downside,"2,758","1,932","1,037",288,473
E05007253 : Cobham Fairmile,"1,697","1,106",570,247,295
E05007254 : Esher,"2,638","1,895","1,017",266,416
E05007255 : Hersham North,"2,469","1,672",659,466,293
E05007256 : Hersham South,"2,664","1,863",929,424,319
E05007257 : Hinchley Wood,"1,859","1,583",741,71,177
E05007258 : Long Ditton,"2,504","1,923",829,281,270
E05007259 : Molesey East,"2,685","2,087","1,018",66,498
E05007260 : Molesey North,"2,509","1,977",938,207,288
E05007261 : Molesey South,"2,824","1,921",775,530,315
E05007262 : Oatlands Park,"2,662","2,045","1,035",122,458
E05007263 : Oxshott and Stoke D'Abernon,"2,422","1,972","1,073",135,253
E05007264 : St George's Hill,"2,567","1,854",836,74,579
E05007265 : Thames Ditton,"2,451","1,951",827,131,333
E05007266 : Walton Ambleside,"1,563","1,092",412,300,131
E05007267 : Walton Central,"3,063","2,047","1,016",207,716
E05007268 : Walton North,"2,787","1,703",573,649,370
E05007269 : Walton South,"2,643","2,052",982,68,473
E05007270 : Weston Green,"1,367","1,197",545,25,128
E05007271 : Weybridge North,"1,914","1,212",511,311,343
E05007272 : Weybridge South,"2,088","1,342",652,89,621
E05007273 : Auriol,"1,512","1,388",701,15,98
E05007274 : College,"2,248","1,729",923,110,366
E05007275 : Court,"2,567","1,375",354,694,379
E05007276 : Cuddington,"2,366","1,930",924,131,277
E05007277 : Ewell,"2,439","1,823",926,188,407
E05007278 : Ewell Court,"2,220","1,980","1,093",56,170
E05007279 : Nonsuch,"1,929","1,839",994,16,64
E05007280 : Ruxley,"2,525","1,814",719,434,235
E05007281 : Stamford,"2,348","1,929",904,150,243
E05007282 : Stoneleigh,"1,791","1,607",803,37,139
E05007283 : Town,"3,154","1,769",852,257,"1,052"
E05007284 : West Ewell,"2,399","1,934",829,177,232
E05007285 : Woodcote,"2,286","1,814",947,125,300
E05007286 : Ash South and Tongham,"3,297","2,538","1,095",483,226
E05007287 : Ash Vale,"2,452","1,875",744,161,379
E05007288 : Ash Wharf,"2,578","1,872",871,444,227
E05007289 : Burpham,"2,367","1,789",788,66,463
E05007290 : Christchurch,"2,063","1,602",907,82,355
E05007291 : Clandon and Horsley,"3,425","2,881","1,695",231,249
E05007292 : Effingham,"1,054",888,491,56,81
E05007293 : Friary and St Nicolas,"3,979","2,061",953,519,"1,220"
E05007294 : Holy Trinity,"3,661","2,047","1,046",292,"1,244"
E05007295 : Lovelace,"1,009",669,379,115,183
E05007296 : Merrow,"3,303","2,397","1,190",440,399
E05007297 : Normandy,"1,310","1,083",646,110,99
E05007298 : Onslow,"2,152","1,404",718,279,430
E05007299 : Pilgrims,990,748,418,69,145
E05007300 : Pirbright,"1,101",533,263,109,433
E05007301 : Send,"1,665","1,378",688,154,105
E05007302 : Shalford,"2,230","1,590",817,320,207
E05007303 : Stoke,"2,400","1,198",426,849,274
E05007304 : Stoughton,"3,717","2,564",974,348,620
E05007305 : Tillingbourne,"2,247","1,643",948,206,320
E05007306 : Westborough,"3,517","1,702",746,"1,204",549
E05007307 : Worplesdon,"3,456","2,686","1,401",371,314
E05007308 : Ashtead Common,"1,617","1,372",661,117,112
E05007309 : Ashtead Park,"1,654","1,360",796,132,126
E05007310 : Ashtead Village,"2,368","1,949","1,088",205,189
E05007311 : Beare Green,863,623,340,147,67
E05007312 : Bookham North,"2,444","1,899","1,150",339,182
E05007313 : Bookham South,"2,396","1,908","1,096",259,204
E05007314 : Box Hill and Headley,"1,013",796,638,43,142
"E05007315 : Brockham, Betchworth and Buckland","1,853","1,440",770,172,202
"E05007316 : Capel, Leigh and Newdigate","1,778","1,339",655,225,163
E05007317 : Charlwood,911,679,270,94,104
E05007318 : Dorking North,"1,842","1,337",630,186,292
E05007319 : Dorking South,"3,025","2,000","1,027",420,535
E05007320 : Fetcham East,"1,508","1,290",751,99,111
E05007321 : Fetcham West,"1,604","1,479",738,25,83
E05007322 : Holmwoods,"2,703","1,628",729,720,273
E05007323 : Leatherhead North,"3,177","1,603",604,798,637
E05007324 : Leatherhead South,"1,913","1,420",849,117,332
E05007325 : Leith Hill,680,420,239,57,163
"E05007326 : Mickleham, Westhumble and Pixham",804,623,343,35,111
E05007327 : Okewood,757,527,276,55,145
E05007328 : Westcott,918,670,361,128,97
E05007329 : Banstead Village,"3,349","2,726","1,431",255,295
"E05007330 : Chipstead, Hooley and Woodmansterne","3,325","2,733","1,140",239,265
E05007331 : Earlswood and Whitebushes,"3,553","2,515",941,449,528
E05007332 : Horley Central,"3,587","2,274","1,052",401,818
E05007333 : Horley East,"2,336","1,834",753,66,385
E05007334 : Horley West,"3,134","2,322","1,067",528,254
E05007335 : Kingswood with Burgh Heath,"2,767","2,337","1,182",147,239
E05007336 : Meadvale and St John's,"3,035","2,291",969,376,328
E05007337 : Merstham,"3,225","2,059",823,798,316
E05007338 : Nork,"2,888","2,542","1,248",151,177
E05007339 : Preston,"1,176",628,192,409,81
E05007340 : Redhill East,"4,284","2,614",866,309,"1,157"
E05007341 : Redhill West,"3,421","2,032","1,014",746,560
E05007342 : Reigate Central,"3,116","2,154","1,004",319,584
E05007343 : Reigate Hill,"2,281","1,758",915,24,449
E05007344 : Salfords and Sidlow,"1,075",913,472,42,99
E05007345 : South Park and Woodhatch,"2,950","1,944",885,730,235
E05007346 : Tadworth and Walton,"2,798","2,431","1,258",100,227
E05007347 : Tattenhams,"3,123","2,379","1,181",516,172
E05007348 : Addlestone Bourneside,"2,602","1,827",953,366,366
E05007349 : Addlestone North,"2,516","1,766",738,318,364
E05007350 : Chertsey Meads,"2,651","1,857",820,355,375
E05007351 : Chertsey St Ann's,"2,711","1,699",888,573,343
E05007352 : Chertsey South and Row Town,"2,075","1,753",826,140,142
E05007353 : Egham Hythe,"2,713","1,640",577,625,388
E05007354 : Egham Town,"2,709","1,531",729,323,789
E05007355 : Englefield Green East,"1,213",802,394,48,344
E05007356 : Englefield Green West,"2,120",903,454,616,545
E05007357 : Foxhills,"2,374","1,700",870,314,309
E05007358 : New Haw,"2,367","1,861",753,204,266
E05007359 : Thorpe,"2,187","1,847",867,73,211
E05007360 : Virginia Water,"2,323","1,743",982,78,398
E05007361 : Woodham,"2,153","1,802",976,177,134
E05007362 : Ashford Common,"3,324","2,645","1,250",256,372
E05007363 : Ashford East,"2,959","2,310","1,120",263,333
E05007364 : Ashford North and Stanwell South,"3,140","2,051",824,526,441
E05007365 : Ashford Town,"2,703","2,296","1,063",75,294
E05007366 : Halliford and Sunbury West,"2,496","1,976",989,313,177
E05007367 : Laleham and Shepperton Green,"3,326","2,466","1,096",393,364
E05007368 : Riverside and Laleham,"2,846","2,359","1,222",169,285
E05007369 : Shepperton Town,"3,047","2,515","1,419",83,385
E05007370 : Staines,"3,528","2,041",847,418,985
E05007371 : Staines South,"2,899","1,962",868,624,236
E05007372 : Stanwell North,"3,250","1,839",761,860,424
E05007373 : Sunbury Common,"3,163","1,955",758,734,391
E05007374 : Sunbury East,"2,831","2,256","1,186",197,317
E05007375 : Bagshot,"2,332","1,733",700,265,303
E05007376 : Bisley,"1,310","1,153",476,30,115
E05007377 : Chobham,"1,616","1,287",702,164,124
E05007378 : Frimley,"2,354","1,723",812,367,226
E05007379 : Frimley Green,"2,266","1,865",797,123,225
E05007380 : Heatherside,"2,344","2,016",820,50,256
E05007381 : Lightwater,"2,778","2,398","1,133",116,245
E05007382 : Mytchett and Deepcut,"2,738","1,994",909,188,509
E05007383 : Old Dean,"1,769",846,314,755,108
E05007384 : Parkside,"2,360","2,088","1,007",67,180
E05007385 : St Michaels,"2,181","1,258",545,355,460
E05007386 : St Pauls,"2,089","1,902",863,13,164
E05007387 : Town,"2,009","1,251",619,146,567
E05007388 : Watchetts,"1,930","1,315",588,325,253
E05007389 : West End,"1,688","1,461",665,47,142
E05007390 : Windlesham,"1,782","1,479",718,78,196
E05007391 : Chaldon,644,601,315,10,21
E05007392 : Dormansland and Felcourt,"1,450","1,135",581,103,191
E05007393 : Felbridge,829,686,341,55,52
E05007394 : Godstone,"2,386","1,714",776,401,221
E05007395 : Harestone,"1,679","1,321",658,70,260
E05007396 : Limpsfield,"1,430","1,189",700,65,154
E05007397 : Lingfield and Crowhurst,"1,749","1,270",634,271,160
E05007398 : Oxted North and Tandridge,"2,330","1,773",953,217,299
E05007399 : Oxted South,"2,358","1,663",761,497,167
E05007400 : Portley,"1,726","1,440",595,149,109
E05007401 : Queens Park,"1,549","1,188",580,159,183
E05007402 : Tatsfield and Titsey,739,595,297,51,66
E05007403 : Valley,"1,842","1,276",524,230,282
E05007404 : Warlingham East and Chelsham and Farleigh,"2,308","1,789",890,292,192
E05007405 : Warlingham West,"1,366","1,207",691,34,105
E05007406 : Westway,"1,747","1,186",393,310,202
E05007407 : Whyteleafe,"1,783","1,166",389,116,389
E05007408 : Woldingham,744,616,334,17,79
E05007409 : Bletchingley and Nutfield,"2,314","1,641",760,378,250
"E05007410 : Burstow, Horne and Outwood","2,369","1,846",902,185,284
"E05007411 : Alfold, Cranleigh Rural and Ellens Green",861,664,461,85,77
E05007412 : Blackheath and Wonersh,748,643,379,34,56
"E05007413 : Bramley, Busbridge and Hascombe","1,796","1,301",707,211,225
E05007414 : Chiddingfold and Dunsfold,"1,560","1,166",586,193,136
E05007415 : Cranleigh East,"2,723","2,011","1,045",464,179
E05007416 : Cranleigh West,"1,649","1,237",736,77,271
E05007417 : Elstead and Thursley,"1,611","1,224",742,182,153
E05007418 : Ewhurst,814,650,380,84,45
E05007419 : Farnham Bourne,"1,585","1,417",791,35,113
E05007420 : Farnham Castle,"1,879","1,117",670,325,370
E05007421 : Farnham Firgrove,"1,790","1,280",629,241,238
E05007422 : Farnham Hale and Heath End,"1,806","1,476",664,116,189
E05007423 : Farnham Moor Park,"2,014","1,308",637,318,315
E05007424 : Farnham Shortheath and Boundstone,"1,662","1,284",617,211,144
E05007425 : Farnham Upper Hale,"1,685","1,258",579,284,127
E05007426 : Farnham Weybourne and Badshot Lea,"1,843","1,433",668,198,156
E05007427 : Farnham Wrecclesham and Rowledge,"1,786","1,388",676,175,177
"E05007428 : Frensham, Dockenfield and Tilford","1,583","1,240",654,150,133
E05007429 : Godalming Binscombe,"1,671","1,037",515,506,97
E05007430 : Godalming Central and Ockford,"1,984","1,212",528,364,381
E05007431 : Godalming Charterhouse,"1,575","1,088",535,81,350
E05007432 : Godalming Farncombe and Catteshall,"2,091","1,371",624,272,371
E05007433 : Godalming Holloway,"1,633","1,454",736,38,123
E05007434 : Haslemere Critchmere and Shottermill,"2,445","1,718",724,338,337
E05007435 : Haslemere East and Grayswood,"2,766","2,049","1,098",392,266
E05007436 : Hindhead,"1,688","1,301",651,149,200
E05007437 : Milford,"1,742","1,234",613,274,158
E05007438 : Shamley Green and Cranleigh North,731,579,340,83,56
E05007439 : Witley and Hambledon,"1,559","1,155",587,188,134
E05007440 : Brookwood,960,813,347,18,107
E05007441 : Byfleet,"3,174","2,437","1,029",378,315
E05007442 : Goldsworth East,"3,420","2,080",864,528,737
E05007443 : Goldsworth West,"2,082","1,497",498,296,231
E05007444 : Hermitage and Knaphill South,"2,227","1,546",602,420,220
E05007445 : Horsell East and Woodham,"1,827","1,501",804,80,223
E05007446 : Horsell West,"2,838","2,170",989,322,313
E05007447 : Kingfield and Westfield,"2,119","1,474",682,446,175
E05007448 : Knaphill,"3,849","2,834","1,063",378,524
E05007449 : Maybury and Sheerwater,"3,618","1,706",608,"1,049",777
E05007450 : Mayford and Sutton Green,973,879,489,13,66
E05007451 : Mount Hermon East,"2,006","1,387",702,95,488
E05007452 : Mount Hermon West,"2,945","1,612",819,130,"1,120"
E05007453 : Old Woking,"1,236",812,256,245,144
E05007454 : Pyrford,"1,985","1,827","1,088",35,108
E05007455 : St John's and Hook Heath,"1,888","1,495",752,152,225
E05007456 : West Byfleet,"2,320","1,759",887,119,413
E05007562 : Buckingham,"1,644","1,498",761,10,116
E05007563 : Churchill,"2,069","1,499",858,249,281
E05007564 : Cokeham,"1,896","1,521",765,209,142
E05007565 : Eastbrook,"1,883","1,134",522,522,183
E05007566 : Hillside,"1,778","1,390",708,238,128
E05007567 : Manor,"1,704","1,399",729,93,147
E05007568 : Marine,"2,070","1,550",719,52,421
E05007569 : Mash Barn,"1,819","1,210",542,424,160
E05007570 : Peverel,"1,884","1,342",693,341,172
E05007571 : St Mary's,"1,931","1,169",577,362,346
E05007572 : St Nicolas,"1,738","1,467",831,100,152
E05007573 : Southlands,"1,717","1,028",525,544,124
E05007574 : Southwick Green,"1,975","1,452",702,207,292
E05007575 : Widewater,"2,849","2,224","1,259",172,415
E05007576 : Aldwick East,"2,312","2,062","1,455",15,218
E05007577 : Aldwick West,"2,282","1,892","1,271",200,161
E05007578 : Angmering,"3,267","2,584","1,370",251,362
E05007579 : Arundel,"2,051","1,437",860,196,336
E05007580 : Barnham,"3,538","2,860","1,433",263,355
E05007581 : Beach,"2,196","1,655",980,99,414
E05007582 : Bersted,"3,629","2,712","1,325",397,431
E05007583 : Brookfield,"2,544","1,880",772,251,349
E05007584 : East Preston with Kingston,"3,364","2,752","1,873",341,221
E05007585 : Felpham East,"2,102","1,862","1,100",53,171
E05007586 : Felpham West,"2,250","1,934","1,228",20,282
E05007587 : Ferring,"2,226","1,995","1,426",32,177
E05007588 : Findon,"1,144",902,524,93,125
E05007589 : Ham,"2,429","1,274",603,636,445
E05007590 : Hotham,"2,746","1,408",796,363,902
E05007591 : Marine,"2,713","1,177",678,149,"1,328"
E05007592 : Middleton-on-Sea,"2,447","1,991","1,247",159,248
E05007593 : Orchard,"2,514","1,496",654,408,569
E05007594 : Pagham and Rose Green,"3,558","3,076","1,957",137,292
E05007595 : Pevensey,"2,379","1,288",567,596,424
E05007596 : River,"2,613","1,265",752,217,"1,067"
E05007597 : Rustington East,"2,587","1,987","1,328",277,261
E05007598 : Rustington West,"3,905","3,268","2,096",113,460
E05007599 : Walberton,"1,168",916,541,80,140
E05007600 : Wick with Toddington,"2,442","1,842",890,242,277
E05007601 : Yapton,"2,300","1,739",855,298,196
E05007602 : Bosham,"1,833","1,407",869,140,251
E05007603 : Boxgrove,"1,002",530,340,185,222
E05007604 : Bury,906,629,416,70,162
E05007605 : Chichester East,"3,939","1,634",835,"1,283",908
E05007606 : Chichester North,"2,962","1,976","1,382",299,604
E05007607 : Chichester South,"3,139","1,816","1,118",628,621
E05007608 : Chichester West,"2,276","1,345",876,554,319
E05007609 : Donnington,933,775,415,39,104
E05007610 : Easebourne,"1,047",646,384,147,187
E05007611 : East Wittering,"2,255","1,612",992,215,357
E05007612 : Fernhurst,"2,094","1,578",797,277,175
E05007613 : Fishbourne,988,800,463,56,113
E05007614 : Funtington,"1,117",814,548,77,180
E05007615 : Harting,874,598,358,120,132
E05007616 : Lavant,"1,004",606,312,234,112
E05007617 : Midhurst,"2,434","1,511",955,502,353
E05007618 : North Mundham,907,596,346,160,123
E05007619 : Petworth,"2,114","1,226",728,406,371
E05007620 : Plaistow,"1,895","1,501",796,203,141
E05007621 : Rogate,"1,001",735,431,124,108
E05007622 : Selsey North,"2,961","2,287","1,410",294,316
E05007623 : Selsey South,"1,902","1,516",974,106,259
E05007624 : Sidlesham,"1,014",719,389,172,95
E05007625 : Southbourne,"3,032","2,134","1,324",316,518
E05007626 : Stedham,942,638,406,128,130
E05007627 : Tangmere,"1,106",657,289,252,147
E05007628 : West Wittering,"2,137","1,734","1,233",122,216
E05007629 : Westbourne,"1,000",716,379,163,90
E05007630 : Wisborough Green,"1,034",745,445,135,109
E05007631 : Bewbush,"3,234","1,606",302,"1,131",425
E05007632 : Broadfield North,"2,442","1,192",325,809,370
E05007633 : Broadfield South,"2,687","1,151",247,"1,075",402
E05007634 : Furnace Green,"2,309","1,636",839,430,188
E05007635 : Gossops Green,"2,128","1,427",606,489,178
E05007636 : Ifield,"3,613","2,171",841,960,383
E05007637 : Langley Green,"2,942","1,617",651,882,355
E05007638 : Maidenbower,"3,722","2,630",592,264,764
E05007639 : Northgate,"2,259","1,041",454,592,550
E05007640 : Pound Hill North,"2,689","2,071",947,223,360
E05007641 : Pound Hill South and Worth,"3,375","2,382",995,406,492
E05007642 : Southgate,"3,554","1,974",892,840,660
E05007643 : Three Bridges,"3,101","1,826",789,630,525
E05007644 : Tilgate,"2,454","1,509",619,707,180
E05007645 : West Green,"2,218",995,381,756,382
E05007646 : Billingshurst and Shipley,"3,945","2,883","1,376",501,453
"E05007647 : Bramber, Upper Beeding and Woodmancote","2,220","1,772",943,145,274
E05007648 : Broadbridge Heath,"1,323",966,349,155,184
E05007649 : Chanctonbury,"3,328","2,847","1,532",137,295
E05007650 : Chantry,"4,261","3,114","1,890",640,394
"E05007651 : Cowfold, Shermanbury and West Grinstead","2,184","1,738",802,149,242
E05007652 : Denne,"2,699","1,695",850,476,469
E05007653 : Forest,"1,511","1,295",748,54,137
E05007654 : Henfield,"2,246","1,635",979,334,240
E05007655 : Holbrook East,"2,220","1,739",667,206,236
E05007656 : Holbrook West,"2,374","1,809",773,238,304
E05007657 : Horsham Park,"3,496","2,138",908,749,552
"E05007658 : Itchingfield, Slinfold and Warnham","2,218","1,600",832,291,247
E05007659 : Nuthurst,"1,145",928,522,70,114
E05007660 : Pulborough and Coldwatham,"2,705","1,950","1,050",391,309
E05007661 : Roffey North,"2,637","2,061","1,107",328,210
E05007662 : Roffey South,"2,967","1,914",862,481,524
E05007663 : Rudgwick,"1,086",869,467,78,105
E05007664 : Rusper and Colgate,"1,053",744,355,62,209
E05007665 : Southwater,"3,840","3,051","1,124",291,356
E05007666 : Steyning,"2,782","2,125","1,277",276,324
E05007667 : Trafalgar,"2,683","2,053","1,073",295,302
E05007668 : Ardingly and Balcombe,"2,341","1,478",686,350,373
E05007669 : Ashurst Wood,"1,128",917,436,65,120
E05007670 : Bolney,"1,112",839,400,96,135
E05007671 : Burgess Hill Dunstall,"2,044","1,649",493,127,230
E05007672 : Burgess Hill Franklands,"1,890","1,690",919,47,119
E05007673 : Burgess Hill Leylands,"1,974","1,489",712,307,147
E05007674 : Burgess Hill Meeds,"2,122","1,408",668,293,382
E05007675 : Burgess Hill St Andrews,"1,878","1,518",691,203,128
E05007676 : Burgess Hill Victoria,"2,218","1,649",597,269,251
E05007677 : Copthorne and Worth,"1,955","1,615",764,87,220
E05007678 : Crawley Down and Turners Hill,"2,817","2,300","1,172",200,245
E05007679 : Cuckfield,"2,080","1,519",793,204,293
E05007680 : East Grinstead Ashplats,"2,347","1,631",654,395,270
E05007681 : East Grinstead Baldwins,"2,074","1,483",624,294,273
E05007682 : East Grinstead Herontye,"1,895","1,619",734,77,179
E05007683 : East Grinstead Imberhorne,"1,781","1,577",833,32,151
E05007684 : East Grinstead Town,"2,559","1,471",731,367,638
E05007685 : Hassocks,"3,341","2,721","1,579",293,274
E05007686 : Haywards Heath Ashenground,"2,396","1,613",655,290,427
E05007687 : Haywards Heath Bentswood,"2,327","1,506",661,515,241
E05007688 : Haywards Heath Franklands,"1,986","1,346",625,412,196
E05007689 : Haywards Heath Heath,"2,496","1,571",766,169,716
E05007690 : Haywards Heath Lucastes,"2,382","1,629",717,200,480
E05007691 : High Weald,"2,040","1,561",869,195,221
E05007692 : Hurstpierpoint and Downs,"3,251","2,357","1,184",427,368
E05007693 : Lindfield,"2,975","2,502","1,445",178,245
E05007694 : Broadwater,"3,813","2,857","1,160",325,575
E05007695 : Castle,"3,443","2,455","1,250",597,335
E05007696 : Central,"5,087","2,147","1,028",803,"2,021"
E05007697 : Durrington,"2,532","1,954","1,020",325,221
E05007698 : Gaisford,"3,992","2,854","1,204",265,823
E05007699 : Goring,"3,740","3,222","2,137",156,322
E05007700 : Heene,"4,057","2,063","1,091",307,"1,633"
E05007701 : Marine,"3,783","2,902","1,630",108,734
E05007702 : Northbrook,"1,872","1,070",355,550,224
E05007703 : Offington,"3,268","2,959","1,626",63,218
E05007704 : Salvington,"3,860","3,063","1,656",398,361
E05007705 : Selden,"3,822","2,320","1,065",415,"1,036"
E05007706 : Tarring,"3,775","2,755","1,151",383,599
E05001935 : Abbey,"3,292",968,583,712,"1,531"
E05001936 : Bathavon North,"3,102","2,472","1,455",266,302
E05001937 : Bathavon South,"1,177",904,521,69,164
E05001938 : Bathavon West,841,611,348,66,146
E05001939 : Bathwick,"1,177",939,682,18,200
E05001940 : Chew Valley North,944,756,441,75,91
E05001941 : Chew Valley South,970,785,440,78,84
E05001942 : Clutton,962,795,397,78,76
E05001943 : Combe Down,"2,336","1,409",806,630,267
E05001944 : Farmborough,"1,037",817,468,108,98
E05001945 : High Littleton,"1,186",996,515,79,95
E05001946 : Keynsham East,"2,324","2,002","1,208",97,202
E05001947 : Keynsham North,"2,176","1,505",755,387,236
E05001948 : Keynsham South,"2,307","1,454",775,596,202
E05001949 : Kingsmead,"2,666","1,074",544,542,999
E05001950 : Lambridge,"2,412","1,663",871,292,410
E05001951 : Lansdown,"2,180","1,227",714,284,610
E05001952 : Lyncombe,"2,240","1,717",968,162,324
E05001953 : Mendip,"1,048",809,430,122,95
E05001954 : Midsomer Norton North,"2,455","1,967",909,114,347
E05001955 : Midsomer Norton Redfield,"2,130","1,628",934,296,177
E05001956 : Newbridge,"2,483","1,587",793,388,463
E05001957 : Odd Down,"2,364","1,534",724,418,341
E05001958 : Oldfield,"2,277","1,183",595,490,554
E05001959 : Paulton,"2,185","1,702",858,225,228
E05001960 : Peasedown,"2,632","1,970",820,276,329
E05001961 : Publow and Whitchurch,947,755,355,84,89
E05001962 : Radstock,"2,300","1,515",604,476,267
E05001963 : Saltford,"1,680","1,427",822,155,73
E05001964 : Southdown,"2,327","1,505",786,533,237
E05001965 : Timsbury,"1,113",850,478,143,89
E05001966 : Twerton,"2,273",925,377,"1,098",209
E05001967 : Walcot,"2,828","1,609",767,358,827
E05001968 : Westfield,"2,299","1,798",771,227,230
E05001969 : Westmoreland,"2,216","1,257",644,185,744
E05001970 : Weston,"2,306","1,630",944,351,298
E05001971 : Widcombe,"2,323","1,323",725,136,813
E05002113 : Boscombe East,"4,888","2,756","1,219",343,"1,708"
E05002114 : Boscombe West,"5,441","1,494",643,489,"3,344"
E05002115 : Central,"5,566","1,996","1,120",706,"2,772"
E05002116 : East Cliff and Springbourne,"6,129","2,423","1,177",775,"2,814"
E05002117 : East Southbourne and Tuckton,"4,538","3,392","2,140",171,920
E05002118 : Kinson North,"4,312","2,812","1,493",962,447
E05002119 : Kinson South,"4,229","2,251","1,085","1,530",368
E05002120 : Littledown and Iford,"4,046","3,146","1,530",187,662
E05002121 : Moordown,"3,988","2,950","1,175",250,732
E05002122 : Queen's Park,"5,031","2,532",967,428,"1,988"
E05002123 : Redhill and Northbourne,"4,160","3,370","1,764",194,541
E05002124 : Strouden Park,"4,020","2,467","1,218","1,085",395
E05002125 : Talbot and Branksome Woods,"4,118","2,529","1,303",220,"1,320"
E05002126 : Throop and Muscliff,"3,728","2,937","1,292",168,559
E05002127 : Wallisdown and Winton West,"4,178","2,582","1,140",617,906
E05002128 : West Southbourne,"4,042","2,440","1,072",473,"1,081"
E05002129 : Westbourne and West Cliff,"5,876","2,859","1,697",374,"2,458"
E05002130 : Winton East,"4,084","2,121",785,234,"1,670"
E05001972 : Ashley,"7,152","2,628","1,079","1,917","2,395"
E05001973 : Avonmouth,"5,323","3,107","1,420","1,473",650
E05001974 : Bedminster,"5,736","3,539","1,577",682,"1,405"
E05001975 : Bishopston,"5,318","3,582","1,408",184,"1,490"
E05001976 : Bishopsworth,"4,915","2,954","1,463","1,345",491
E05001977 : Brislington East,"5,088","3,359","1,352",810,835
E05001978 : Brislington West,"4,839","3,244","1,356",637,878
E05001979 : Cabot,"6,984","1,703",835,"1,283","3,766"
E05001980 : Clifton,"5,256","2,353","1,259",446,"2,323"
E05001981 : Clifton East,"4,749","1,826",835,249,"2,601"
E05001982 : Cotham,"5,189","2,045",929,304,"2,788"
E05001983 : Easton,"5,859","2,988","1,099",742,"2,034"
E05001984 : Eastville,"5,380","3,008","1,262",720,"1,523"
E05001985 : Filwood,"4,726","2,082",839,"2,040",457
E05001986 : Frome Vale,"4,926","2,911","1,559","1,077",815
E05001987 : Hartcliffe,"4,809","2,679","1,354","1,659",373
E05001988 : Henbury,"4,806","2,537","1,195","1,608",529
E05001989 : Hengrove,"5,021","3,458","1,650",878,597
E05001990 : Henleaze,"4,256","3,504","1,963",177,531
E05001991 : Hillfields,"5,531","3,289","1,396","1,076","1,032"
E05001992 : Horfield,"5,314","2,835","1,317","1,103","1,234"
E05001993 : Kingsweston,"4,396","2,152","1,057","1,831",336
E05001994 : Knowle,"4,575","3,192","1,459",682,638
E05001995 : Lawrence Hill,"8,516","1,594",579,"4,130","2,478"
E05001996 : Lockleaze,"4,837","2,449","1,044","1,382",870
E05001997 : Redland,"4,747","2,815","1,227",221,"1,663"
E05001998 : St George East,"5,308","3,696","1,608",444,"1,094"
E05001999 : St George West,"5,419","2,958","1,142",885,"1,473"
E05002000 : Southmead,"4,850","2,419","1,040","1,662",632
E05002001 : Southville,"5,895","2,710","1,074","1,190","1,889"
E05002002 : Stockwood,"4,591","3,223","1,631",930,378
E05002003 : Stoke Bishop,"3,241","2,678","1,601",110,404
E05002004 : Westbury-on-Trym,"4,556","3,556","1,940",466,464
E05002005 : Whitchurch Park,"4,596","2,532","1,277","1,712",245
E05002006 : Windmill Hill,"6,043","3,103","1,102","1,028","1,717"
E05008199 : Altarnun,"1,678","1,304",831,81,241
E05008200 : Bodmin Central,"2,340","1,263",584,465,571
E05008201 : Bodmin East,"1,692","1,207",656,188,276
E05008202 : Bodmin West,"2,214","1,301",651,605,277
E05008203 : Breage,"2,016","1,626","1,016",105,244
E05008204 : Bude North and Stratton,"2,870","1,850","1,155",302,631
E05008205 : Bude South,"1,306",859,553,274,125
E05008206 : Bugle,"1,663","1,115",572,122,398
E05008207 : Callington,"2,063","1,369",758,258,371
E05008208 : Camborne Central,"2,028","1,427",819,70,504
E05008209 : Camborne North,"1,914","1,278",681,203,401
E05008210 : Camborne South,"1,509","1,069",687,80,340
E05008211 : Camborne West,"2,053","1,284",737,455,271
E05008212 : Camelford,"1,645","1,115",676,221,255
E05008213 : Carn Brea North,"2,214","1,499",780,349,332
E05008214 : Carn Brea South,"1,664","1,175",576,179,271
E05008215 : Chacewater and Kenwyn,"1,601","1,088",583,100,368
E05008216 : Colan and Mawgan,"1,677","1,187",650,92,346
E05008217 : Constantine,"2,062","1,575","1,029",164,268
