KS611EW to KS613EW - NS-SeC by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All categories: NS-SeC,"1. Higher managerial, administrative and professional occupations",7. Routine occupations,8. Never worked and long-term unemployed
E05001608 : Latchford East,"6,015",330,"1,136",384
E05001609 : Latchford West,"5,240",422,762,207
E05001610 : Lymm,"8,879","1,967",483,176
E05001611 : Orford,"7,728",324,"1,521",509
E05001612 : Penketh and Cuerdley,"6,250",621,637,148
E05001613 : Poplars and Hulme,"7,491",354,"1,502",543
E05001614 : Poulton North,"7,777",645,"1,063",369
E05001615 : Poulton South,"4,783",434,600,125
E05001616 : Rixton and Woolston,"6,991",750,749,170
E05001617 : Stockton Heath,"4,586",898,267,84
E05001618 : Westbrook,"4,903",756,360,126
E05001619 : Whittle Hall,"8,913","1,668",530,238
E05003114 : All Saints,"3,498",399,454,127
E05003115 : Aspatria,"2,489",119,486,114
E05003116 : Boltons,"1,393",143,106,25
E05003117 : Broughton St Bridget's,"3,102",452,302,63
E05003118 : Christchurch,"2,394",361,205,50
E05003119 : Clifton,"1,211",68,234,50
E05003120 : Crummock,"1,187",202,66,13
E05003121 : Dalton,"1,380",251,75,18
E05003122 : Derwent Valley,"1,211",147,118,17
E05003123 : Ellen,"2,418",170,416,97
E05003124 : Ellenborough,"2,841",124,584,162
E05003125 : Ewanrigg,"2,457",66,630,215
E05003126 : Flimby,"1,278",38,277,89
E05003127 : Harrington,"2,335",212,242,62
E05003128 : Holme,"1,294",79,133,43
E05003129 : Keswick,"3,764",333,390,73
E05003130 : Marsh,"1,195",110,101,18
E05003131 : Moorclose,"3,595",127,837,265
E05003132 : Moss Bay,"3,532",57,937,355
E05003133 : Netherhall,"2,307",128,414,110
E05003134 : St John's,"4,079",320,570,140
E05003135 : St Michael's,"3,894",140,828,245
E05003136 : Seaton,"3,865",309,526,113
E05003137 : Silloth,"2,325",131,380,90
E05003138 : Solway,"1,231",114,167,33
E05003139 : Stainburn,"1,287",145,112,31
E05003140 : Wampool,"1,247",128,117,21
E05003141 : Warnell,"1,420",187,93,19
E05003142 : Waver,"1,387",105,116,25
E05003143 : Wharrels,"1,163",141,110,26
E05003144 : Wigton,"4,199",237,673,188
E05003145 : Barrow Island,"2,083",64,550,171
E05003146 : Central,"3,313",116,730,393
E05003147 : Dalton North,"4,535",367,697,105
E05003148 : Dalton South,"4,621",307,711,141
E05003149 : Hawcoat,"3,455",433,313,120
E05003150 : Hindpool,"4,361",168,974,417
E05003151 : Newbarns,"3,992",403,511,168
E05003152 : Ormsgill,"4,543",232,874,335
E05003153 : Parkside,"4,137",357,538,165
E05003154 : Risedale,"4,539",205,837,351
E05003155 : Roosecote,"3,615",427,343,48
E05003156 : Walney North,"3,913",249,662,163
E05003157 : Walney South,"3,996",321,656,135
E05003158 : Belah,"4,481",416,535,125
E05003159 : Belle Vue,"4,686",258,807,290
E05003160 : Botcherby,"4,411",176,901,264
E05003161 : Brampton,"3,231",299,424,111
E05003162 : Burgh,"1,607",150,143,25
E05003163 : Castle,"4,650",322,755,268
E05003164 : Currock,"4,582",157,866,234
E05003165 : Dalston,"4,443",482,370,84
E05003166 : Denton Holme,"4,918",331,768,197
E05003167 : Great Corby and Geltsdale,"1,620",229,99,19
E05003168 : Harraby,"4,874",242,820,214
E05003169 : Hayton,"1,543",162,127,28
E05003170 : Irthing,"1,518",177,135,31
E05003171 : Longtown & Rockcliffe,"3,155",187,521,115
E05003172 : Lyne,"1,462",134,125,34
E05003173 : Morton,"4,147",126,806,207
E05003174 : St Aidans,"4,877",262,713,195
E05003175 : Stanwix Rural,"3,387",345,258,60
E05003176 : Stanwix Urban,"4,258",503,380,75
E05003177 : Upperby,"3,843",107,791,295
E05003178 : Wetheral,"3,349",448,213,42
E05003179 : Yewdale,"4,489",255,672,94
E05003180 : Arlecdon,"1,191",133,140,27
E05003181 : Beckermet,"2,284",297,226,83
E05003182 : Bootle,973,90,110,27
E05003183 : Bransty,"3,810",467,400,109
E05003184 : Cleator Moor North,"3,128",219,556,175
E05003185 : Cleator Moor South,"2,073",137,379,138
E05003186 : Distington,"3,046",163,589,205
E05003187 : Egremont North,"3,288",222,552,180
E05003188 : Egremont South,"2,767",244,426,124
E05003189 : Ennerdale,805,144,59,20
E05003190 : Frizington,"1,919",162,337,85
E05003191 : Gosforth,"1,054",171,64,15
E05003192 : Harbour,"3,109",277,486,223
E05003193 : Haverigg,"1,548",84,305,155
E05003194 : Hensingham,"2,958",232,484,158
E05003195 : Hillcrest,"2,014",225,196,21
E05003196 : Holborn Hill,"1,828",129,300,85
E05003197 : Kells,"1,831",87,351,78
E05003198 : Millom Without,"1,059",129,84,35
E05003199 : Mirehouse,"3,152",99,725,235
E05003200 : Moresby,"1,039",139,108,31
E05003201 : Newtown,"2,557",150,513,142
E05003202 : St Bees,"1,369",256,84,25
E05003203 : Sandwith,"1,840",69,429,196
E05003204 : Seascale,"2,060",316,151,54
E05003205 : Alston Moor,"1,620",133,189,45
E05003206 : Appleby (Appleby),908,35,159,29
E05003207 : Appleby (Bongate),"1,242",94,161,21
E05003208 : Askham,"1,063",112,90,19
E05003209 : Brough,982,73,124,18
E05003210 : Crosby Ravensworth,"1,046",115,99,17
E05003211 : Dacre,"1,047",117,95,13
E05003212 : Eamont,"1,055",109,99,26
E05003213 : Greystoke,"1,033",119,90,14
E05003214 : Hartside,955,125,79,22
E05003215 : Hesket,"2,423",206,214,39
E05003216 : Kirkby Stephen,"1,840",153,234,41
E05003217 : Kirkby Thore,"1,150",112,133,28
E05003218 : Kirkoswald,"1,104",138,65,12
E05003219 : Langwathby,"1,163",127,113,16
E05003220 : Lazonby,"1,028",139,89,12
E05003221 : Long Marton,902,82,89,16
E05003222 : Morland,971,126,97,9
E05003223 : Orton with Tebay,"1,028",81,129,26
E05003224 : Penrith Carleton,"1,130",83,137,18
E05003225 : Penrith East,"1,895",112,339,43
E05003226 : Penrith North,"2,997",276,393,72
E05003227 : Penrith Pategill,952,38,213,35
E05003228 : Penrith South,"1,747",59,314,45
E05003229 : Penrith West,"2,469",118,431,67
E05003230 : Ravenstonedale,745,80,52,12
E05003231 : Shap,"1,027",72,165,17
E05003232 : Skelton,"1,144",135,70,16
E05003233 : Ullswater,"1,065",117,68,11
E05003234 : Warcop,"1,004",105,77,18
E05003235 : Ambleside and Grasmere,"2,998",219,279,31
E05003236 : Arnside and Beetham,"2,872",454,191,29
E05003237 : Broughton,"1,681",242,137,32
E05003238 : Burneside,"1,433",131,196,24
E05003239 : Burton and Holme,"2,789",340,214,38
E05003240 : Cartmel and Grange West,"1,326",165,97,25
E05003241 : Coniston and Crake Valley,"1,233",138,100,16
E05003242 : Crooklands,"1,602",208,112,15
E05003243 : Grange North,"1,252",169,116,20
E05003244 : Grange South,"1,500",226,118,21
E05003245 : Hawkshead,"1,304",169,73,19
E05003246 : Holker,"1,371",87,176,22
E05003247 : Kendal Castle,"1,311",107,151,28
E05003248 : Kendal Far Cross,"1,491",73,291,51
E05003249 : Kendal Fell,"1,852",232,181,32
E05003250 : Kendal Heron Hill,"1,418",133,168,12
E05003251 : Kendal Highgate,"1,622",181,180,31
E05003252 : Kendal Kirkland,"1,352",58,264,41
E05003253 : Kendal Mintsfeet,"1,718",167,223,40
E05003254 : Kendal Nether,"1,536",148,182,22
E05003255 : Kendal Oxenholme and Natland,"1,485",216,137,25
E05003256 : Kendal Parks,"1,566",137,168,23
E05003257 : Kendal Romney,"1,421",122,186,28
E05003258 : Kendal Stonecross,"1,703",148,149,31
E05003259 : Kendal Strickland,"1,400",181,158,19
E05003260 : Kendal Underley,"1,578",120,277,44
E05003261 : Levens,"1,487",211,84,13
E05003262 : Low Furness,"1,253",197,87,27
E05003263 : Lyth Valley,"1,663",220,105,19
E05003264 : Mid Furness,"3,016",381,265,54
E05003265 : Milnthorpe,"1,535",101,217,25
E05003266 : Sedbergh and Kirkby Lonsdale,"4,518",498,375,47
E05003267 : Staveley-in-Cartmel,"1,514",210,102,29
E05003268 : Staveley-in-Westmorland,"1,522",177,138,20
E05003269 : Ulverston Central,"1,329",121,173,52
E05003270 : Ulverston East,"1,724",118,285,79
E05003271 : Ulverston North,"1,469",234,151,39
E05003272 : Ulverston South,"1,270",99,170,28
E05003273 : Ulverston Town,"1,352",149,164,40
E05003274 : Ulverston West,"1,442",246,105,19
E05003275 : Whinfell,"1,493",195,89,18
E05003276 : Windermere Applethwaite and Troutbeck,"1,599",181,150,49
E05003277 : Windermere Bowness North,"1,431",157,124,18
E05003278 : Windermere Bowness South,"1,763",185,143,33
E05003279 : Windermere Town,"1,637",90,222,35
E05000650 : Astley Bridge,"10,033",989,"1,004",416
E05000651 : Bradshaw,"8,308",879,805,334
E05000652 : Breightmet,"9,868",486,"1,759",708
E05000653 : Bromley Cross,"10,367","1,562",637,183
E05000654 : Crompton,"11,012",501,"1,786","1,359"
E05000655 : Farnworth,"11,315",429,"2,110","1,136"
E05000656 : Great Lever,"9,984",387,"1,640","1,615"
E05000657 : Halliwell,"10,024",374,"1,701","1,557"
E05000658 : Harper Green,"10,027",419,"1,739",888
E05000659 : Heaton and Lostock,"9,794","1,936",552,289
E05000660 : Horwich and Blackrod,"9,431",976,"1,056",273
E05000661 : Horwich North East,"9,156","1,031","1,030",302
E05000662 : Hulton,"9,899",881,"1,218",565
E05000663 : Kearsley,"10,501",724,"1,529",534
E05000664 : Little Lever and Darcy Lever,"9,606",633,"1,320",413
E05000665 : Rumworth,"11,216",428,"1,855","1,925"
E05000666 : Smithills,"10,146",940,"1,133",539
E05000667 : Tonge with the Haulgh,"9,632",404,"1,648",847
E05000668 : Westhoughton North and Chew Moor,"10,692","1,293","1,069",282
E05000669 : Westhoughton South,"9,712",865,"1,168",380
E05000670 : Besses,"7,681",501,997,490
E05000671 : Church,"7,651",828,706,313
E05000672 : East,"7,624",362,"1,330",922
E05000673 : Elton,"8,466",863,905,337
E05000674 : Holyrood,"8,348",806,781,444
E05000675 : Moorside,"8,562",505,"1,403",870
E05000676 : North Manor,"7,253","1,190",477,150
E05000677 : Pilkington Park,"7,074","1,080",420,226
E05000678 : Radcliffe East,"8,286",539,"1,105",524
E05000679 : Radcliffe North,"8,309",635,"1,004",327
E05000680 : Radcliffe West,"8,202",542,"1,171",545
E05000681 : Ramsbottom,"8,774","1,160",749,248
E05000682 : Redvales,"8,301",542,"1,122",715
E05000683 : St Mary's,"7,466",933,682,378
E05000684 : Sedgley,"8,488","1,049",640,600
E05000685 : Tottington,"7,222",874,615,186
E05000686 : Unsworth,"6,980",757,648,255
E05000687 : Ancoats and Clayton,"12,845","1,358","1,575","1,223"
E05000688 : Ardwick,"15,374",552,"1,334","1,618"
E05000689 : Baguley,"10,533",522,"1,713",946
E05000690 : Bradford,"11,780",785,"1,794","1,419"
E05000691 : Brooklands,"10,493",912,"1,303",812
E05000692 : Burnage,"10,728",765,"1,353","1,215"
E05000693 : Charlestown,"10,208",436,"1,672","1,116"
E05000694 : Cheetham,"16,348","1,099","2,029","2,926"
E05000695 : Chorlton,"11,184","2,526",541,442
E05000696 : Chorlton Park,"11,644","2,337",917,762
E05000697 : City Centre,"17,376","2,973",233,299
E05000698 : Crumpsall,"11,286",670,"1,467","1,508"
E05000699 : Didsbury East,"10,961","2,600",557,474
E05000700 : Didsbury West,"10,261","2,880",342,334
E05000701 : Fallowfield,"12,192",634,830,"1,052"
E05000702 : Gorton North,"11,602",411,"1,989","1,567"
E05000703 : Gorton South,"13,687",623,"1,998","1,908"
E05000704 : Harpurhey,"12,754",370,"2,430","1,947"
E05000705 : Higher Blackley,"9,697",404,"1,585",997
E05000706 : Hulme,"14,749","1,436",948,"1,030"
E05000707 : Levenshulme,"12,020",829,913,"1,097"
E05000708 : Longsight,"11,316",398,"1,106","2,065"
E05000709 : Miles Platting and Newton Heath,"10,851",310,"2,133","1,571"
E05000710 : Moss Side,"13,646",490,"1,349","2,101"
E05000711 : Moston,"10,676",510,"1,599",866
E05000712 : Northenden,"10,715",925,"1,558",939
E05000713 : Old Moat,"11,747","1,051",978,862
E05000714 : Rusholme,"10,884",654,792,"1,352"
E05000715 : Sharston,"12,079",615,"2,176","1,226"
E05000716 : Whalley Range,"11,699","1,505",788,"1,292"
E05000717 : Withington,"11,835",846,545,514
E05000718 : Woodhouse Park,"9,762",321,"1,784","1,015"
E05000719 : Alexandra,"8,164",244,"1,611","1,268"
E05000720 : Chadderton Central,"7,730",602,"1,046",391
E05000721 : Chadderton North,"7,729",623,"1,001",462
E05000722 : Chadderton South,"7,969",409,"1,404",490
E05000723 : Coldhurst,"8,456",196,"1,526","1,993"
E05000724 : Crompton,"7,987",665,"1,063",234
E05000725 : Failsworth East,"7,785",515,"1,096",296
E05000726 : Failsworth West,"7,332",391,"1,126",382
E05000727 : Hollinwood,"7,576",254,"1,563",757
E05000728 : Medlock Vale,"8,496",357,"1,475","1,024"
E05000729 : Royton North,"7,732",648,"1,046",238
E05000730 : Royton South,"8,072",632,"1,088",290
E05000731 : Saddleworth North,"7,345","1,114",556,158
E05000732 : Saddleworth South,"7,383","1,234",438,143
E05000733 : Saddleworth West and Lees,"8,254",805,889,221
E05000734 : St James',"8,292",435,"1,411",588
E05000735 : St Mary's,"9,018",217,"1,529","2,040"
E05000736 : Shaw,"7,782",552,"1,187",330
E05000737 : Waterhead,"8,564",393,"1,447",839
E05000738 : Werneth,"8,099",304,"1,126","1,861"
E05000739 : Balderstone and Kirkholt,"7,354",377,"1,293",840
E05000740 : Bamford,"6,903",949,561,440
E05000741 : Castleton,"7,375",432,"1,125",534
E05000742 : Central Rochdale,"7,868",202,"1,398","1,699"
E05000743 : East Middleton,"7,711",511,"1,241",413
E05000744 : Healey,"7,732",728,903,495
E05000745 : Hopwood Hall,"8,497",580,"1,333",533
E05000746 : Kingsway,"8,195",294,"1,399","1,196"
E05000747 : Littleborough Lakeside,"6,869",648,761,244
E05000748 : Milkstone and Deeplish,"7,896",258,"1,212","1,875"
E05000749 : Milnrow and Newhey,"7,699",644,902,244
E05000750 : Norden,"7,190",988,469,194
E05000751 : North Heywood,"7,460",343,"1,403",599
E05000752 : North Middleton,"7,688",451,"1,388",396
E05000753 : Smallbridge and Firgrove,"7,858",281,"1,409","1,081"
E05000754 : South Middleton,"7,025",688,799,307
E05000755 : Spotland and Falinge,"7,600",400,"1,135",886
E05000756 : Wardle and West Littleborough,"7,680",733,883,203
E05000757 : West Heywood,"7,980",353,"1,596",579
E05000758 : West Middleton,"8,162",324,"1,702",867
E05000759 : Barton,"9,164",448,"1,521",772
E05000760 : Boothstown and Ellenbrook,"7,156","1,224",398,156
E05000761 : Broughton,"9,480",351,"1,574","1,413"
E05000762 : Cadishead,"7,434",489,"1,175",356
E05000763 : Claremont,"7,420",636,731,279
E05000764 : Eccles,"8,410","1,055",892,561
E05000765 : Irlam,"6,972",390,"1,001",394
E05000766 : Irwell Riverside,"10,702",477,"1,341",889
E05000767 : Kersal,"8,134",749,810,768
E05000768 : Langworthy,"10,079",413,"1,708","1,056"
E05000769 : Little Hulton,"8,763",288,"1,689","1,019"
E05000770 : Ordsall,"12,501","1,819","1,123",802
E05000771 : Pendlebury,"9,809",583,"1,597",813
E05000772 : Swinton North,"8,104",440,"1,130",514
E05000773 : Swinton South,"8,239",612,"1,047",415
E05000774 : Walkden North,"8,338",372,"1,331",693
E05000775 : Walkden South,"7,665",752,777,283
E05000776 : Weaste and Seedley,"8,820",603,"1,222",602
E05000777 : Winton,"8,694",432,"1,489",732
E05000778 : Worsley,"7,233","1,271",346,137
E05000779 : Bramhall North,"9,354","1,820",404,212
E05000780 : Bramhall South,"8,307","1,789",287,129
E05000781 : Bredbury and Woodley,"10,124",847,"1,126",329
E05000782 : Bredbury Green and Romiley,"9,980","1,028","1,052",453
E05000783 : Brinnington and Central,"10,988",435,"2,148","1,347"
E05000784 : Cheadle and Gatley,"10,289","1,840",546,461
E05000785 : Cheadle Hulme North,"9,428","1,243",720,330
E05000786 : Cheadle Hulme South,"9,828","1,735",499,263
E05000787 : Davenport and Cale Green,"10,632",950,"1,329",705
E05000788 : Edgeley and Cheadle Heath,"10,562",869,"1,251",545
E05000789 : Hazel Grove,"9,984","1,196",775,324
E05000790 : Heald Green,"8,960",971,618,448
E05000791 : Heatons North,"9,633","1,794",536,354
E05000792 : Heatons South,"10,336","1,753",594,418
E05000793 : Manor,"10,046",719,"1,248",385
E05000794 : Marple North,"8,841","1,714",413,233
E05000795 : Marple South,"8,143","1,127",586,235
E05000796 : Offerton,"10,008",846,"1,174",381
E05000797 : Reddish North,"10,671",655,"1,487",527
E05000798 : Reddish South,"10,223",864,"1,209",445
E05000799 : Stepping Hill,"8,973","1,167",632,244
E05000800 : Ashton Hurst,"8,432",583,"1,141",584
E05000801 : Ashton St Michael's,"8,642",519,"1,431",695
E05000802 : Ashton Waterloo,"8,226",520,"1,151",479
E05000803 : Audenshaw,"8,519",594,"1,075",393
E05000804 : Denton North East,"8,397",492,"1,201",386
E05000805 : Denton South,"8,022",404,"1,225",524
E05000806 : Denton West,"8,379",625,934,251
E05000807 : Droylsden East,"8,730",529,"1,193",491
E05000808 : Droylsden West,"8,405",416,"1,239",351
E05000809 : Dukinfield,"9,197",597,"1,518",572
E05000810 : Dukinfield Stalybridge,"8,096",534,"1,112",359
E05000811 : Hyde Godley,"8,234",495,"1,175",688
E05000812 : Hyde Newton,"9,837",620,"1,458",650
E05000813 : Hyde Werneth,"8,191",665,798,571
E05000814 : Longdendale,"7,337",605,"1,053",461
E05000815 : Mossley,"8,273",803,984,349
E05000816 : St Peter's,"8,987",311,"1,778","1,127"
E05000817 : Stalybridge North,"9,331",684,"1,397",593
E05000818 : Stalybridge South,"8,224",890,831,347
E05000819 : Altrincham,"8,450","1,753",512,261
E05000820 : Ashton upon Mersey,"6,997","1,232",401,199
E05000821 : Bowdon,"6,340","1,650",218,191
E05000822 : Broadheath,"9,297","1,510",670,270
E05000823 : Brooklands,"7,395","1,400",380,169
E05000824 : Bucklow-St Martins,"7,154",370,"1,134",584
E05000825 : Clifford,"8,498",641,902,"1,346"
E05000826 : Davyhulme East,"7,132",702,700,221
E05000827 : Davyhulme West,"7,170",729,646,204
E05000828 : Flixton,"7,801",929,647,168
E05000829 : Gorse Hill,"8,685",632,"1,153",519
E05000830 : Hale Barns,"6,620","1,478",272,266
E05000831 : Hale Central,"7,309","2,037",233,146
E05000832 : Longford,"8,462",828,859,758
E05000833 : Priory,"7,947","1,568",433,208
E05000834 : St Mary's,"8,467","1,092",848,467
E05000835 : Sale Moor,"7,375",959,644,342
E05000836 : Stretford,"8,116",713,929,478
E05000837 : Timperley,"8,010","1,317",398,158
E05000838 : Urmston,"8,057",949,694,278
E05000839 : Village,"7,524",902,666,341
E05000840 : Abram,"11,145",483,"2,177",901
E05000841 : Ashton,"9,005",706,"1,231",293
E05000842 : Aspull New Springs Whelley,"9,598",739,"1,399",310
E05000843 : Astley Mosley Common,"8,622",866,919,224
E05000844 : Atherleigh,"8,625",580,"1,284",469
E05000845 : Atherton,"10,962",571,"1,883",848
E05000846 : Bryn,"8,677",503,"1,466",374
E05000847 : Douglas,"9,519",346,"2,098",768
E05000848 : Golborne and Lowton West,"8,710",551,"1,584",401
E05000849 : Hindley,"9,772",551,"1,807",567
E05000850 : Hindley Green,"8,548",620,"1,164",268
E05000851 : Ince,"9,726",253,"2,274",933
E05000852 : Leigh East,"9,177",589,"1,426",543
E05000853 : Leigh South,"10,393",820,"1,523",562
E05000854 : Leigh West,"11,055",396,"2,120",830
E05000855 : Lowton East,"9,424","1,109",867,282
E05000856 : Orrell,"8,482",912,904,228
E05000857 : Pemberton,"10,159",362,"2,382",920
E05000858 : Shevington with Lower Ground,"8,773",955,911,239
E05000859 : Standish with Langtree,"8,933","1,084",874,280
E05000860 : Tyldesley,"10,769",816,"1,397",508
E05000861 : Wigan Central,"8,835",915,"1,110",434
E05000862 : Wigan West,"9,845",512,"1,779",466
E05000863 : Winstanley,"8,620",739,929,121
E05000864 : Worsley Mesnes,"9,121",445,"1,818",505
E05005150 : Bank Hall,"4,074",135,818,500
E05005151 : Briercliffe,"4,374",364,486,90
E05005152 : Brunshaw,"4,629",213,851,237
E05005153 : Cliviger with Worsthorne,"3,927",433,302,60
E05005154 : Coal Clough with Deerplay,"3,807",296,529,227
E05005155 : Daneshouse with Stoneyholme,"3,839",112,583,"1,084"
E05005156 : Gannow,"4,125",195,699,240
E05005157 : Gawthorpe,"4,485",212,812,232
E05005158 : Hapton with Park,"4,360",281,658,200
E05005159 : Lanehead,"4,177",282,655,299
E05005160 : Queensgate,"4,047",181,701,451
E05005161 : Rosegrove with Lowerhouse,"4,813",246,878,334
E05005162 : Rosehill with Burnley Wood,"4,281",256,680,326
E05005163 : Trinity,"3,941",160,752,429
E05005164 : Whittlefield with Ightenhill,"4,497",477,443,148
E05005165 : Adlington and Anderton,"5,409",596,622,132
E05005166 : Astley and Buckshaw,"3,403",488,307,154
E05005167 : Brindle and Hoghton,"1,644",203,90,46
E05005168 : Chisnall,"3,080",350,296,55
E05005169 : Chorley East,"4,955",281,907,336
E05005170 : Chorley North East,"4,888",405,778,207
E05005171 : Chorley North West,"4,394",451,455,141
E05005172 : Chorley South East,"4,993",385,814,233
E05005173 : Chorley South West,"6,123",546,827,313
