QS611EW - Approximated Social Grade,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,,
,,,,,
population,All Household Reference Persons aged 16 to 64,,,,
units,Persons,,,,
date,2011,,,,
rural urban,Total,,,,
,,,,,
2011 ward,Approximated social grade,Approximated social grade AB,Approximated social grade C1,Approximated social grade C2,Approximated social grade DE
E05008706 : Winsford Wharton,"3,049",425,851,707,"1,066"
E05008707 : Witton and Rudheath,"2,649",348,677,656,968
E05001577 : Appleton,"2,258",214,631,502,911
E05001578 : Beechwood,"1,191",235,440,273,243
E05001579 : Birchfield,"2,164",764,817,333,250
E05001580 : Broadheath,"1,899",180,467,474,778
E05001581 : Halton Castle,"2,162",156,545,442,"1,019"
E05001582 : Daresbury,"1,421",526,525,227,143
E05001583 : Ditton,"2,209",229,635,508,837
E05001584 : Farnworth,"2,176",551,756,460,409
E05001585 : Grange,"2,152",171,545,492,944
E05001586 : Hale,500,123,162,106,109
E05001587 : Halton Brook,"2,077",179,555,458,885
E05001588 : Halton Lea,"2,213",110,528,495,"1,080"
E05001589 : Halton View,"2,163",226,660,516,761
E05001590 : Heath,"1,724",332,562,369,461
E05001591 : Hough Green,"2,294",280,665,460,889
E05001592 : Kingsway,"2,006",209,480,486,831
E05001593 : Mersey,"2,863",348,823,638,"1,054"
E05001594 : Norton North,"2,301",433,779,435,654
E05001595 : Norton South,"2,239",141,538,455,"1,105"
E05001596 : Riverside,"1,888",133,459,455,841
E05001597 : Windmill Hill,774,33,171,137,433
E05001598 : Appleton,"2,786","1,350",831,352,253
E05001599 : Bewsey and Whitecross,"4,677",582,"1,268",999,"1,828"
E05001600 : Birchwood,"3,849",858,"1,330",674,987
E05001601 : Burtonwood and Winwick,"1,747",460,591,343,353
"E05001602 : Culcheth, Glazebury and Croft","2,922","1,119",938,453,412
E05001603 : Fairfield and Howley,"5,069",607,"1,567","1,131","1,764"
E05001604 : Grappenhall and Thelwall,"2,691","1,042",912,427,310
E05001605 : Great Sankey North,"1,851",510,677,379,285
E05001606 : Great Sankey South,"3,345",651,"1,211",713,770
"E05001607 : Hatton, Stretton and Walton",911,452,282,115,62
E05001608 : Latchford East,"2,965",355,808,680,"1,122"
E05001609 : Latchford West,"2,349",413,725,520,691
E05001610 : Lymm,"3,752","1,728","1,113",492,419
E05001611 : Orford,"3,373",313,881,817,"1,362"
E05001612 : Penketh and Cuerdley,"2,237",555,790,478,414
E05001613 : Poplars and Hulme,"3,566",355,887,883,"1,441"
E05001614 : Poulton North,"3,262",567,"1,030",680,985
E05001615 : Poulton South,"1,789",391,613,419,366
E05001616 : Rixton and Woolston,"2,687",661,868,634,524
E05001617 : Stockton Heath,"1,981",847,641,292,201
E05001618 : Westbrook,"2,069",704,691,366,308
E05001619 : Whittle Hall,"4,044","1,476","1,459",561,548
E05003114 : All Saints,"1,416",431,350,307,328
E05003115 : Aspatria,"1,028",117,199,323,389
E05003116 : Boltons,499,153,142,119,85
E05003117 : Broughton St Bridget's,"1,230",405,328,275,222
E05003118 : Christchurch,"1,105",418,299,183,205
E05003119 : Clifton,495,72,123,136,164
E05003120 : Crummock,426,158,118,113,37
E05003121 : Dalton,550,233,150,115,52
E05003122 : Derwent Valley,383,114,116,96,57
E05003123 : Ellen,940,138,241,295,266
E05003124 : Ellenborough,"1,161",115,222,337,487
E05003125 : Ewanrigg,"1,017",63,171,305,478
E05003126 : Flimby,532,46,104,164,218
E05003127 : Harrington,909,193,292,225,199
E05003128 : Holme,503,73,121,169,140
E05003129 : Keswick,"1,475",323,418,359,375
E05003130 : Marsh,464,115,118,152,79
E05003131 : Moorclose,"1,608",104,324,414,766
E05003132 : Moss Bay,"1,694",80,291,433,890
E05003133 : Netherhall,"1,006",105,223,290,388
E05003134 : St John's,"1,772",282,519,463,508
E05003135 : St Michael's,"1,872",144,406,531,791
E05003136 : Seaton,"1,515",256,435,452,372
E05003137 : Silloth,881,103,204,273,301
E05003138 : Solway,469,88,96,163,122
E05003139 : Stainburn,505,126,156,134,89
E05003140 : Wampool,460,114,128,129,89
E05003141 : Warnell,516,157,108,180,71
E05003142 : Waver,501,100,112,201,88
E05003143 : Wharrels,478,124,126,139,89
E05003144 : Wigton,"1,710",227,355,477,651
E05003145 : Barrow Island,"1,137",66,196,343,532
E05003146 : Central,"1,710",110,350,434,816
E05003147 : Dalton North,"1,837",361,500,548,428
E05003148 : Dalton South,"1,940",301,545,591,503
E05003149 : Hawcoat,"1,148",357,349,261,181
E05003150 : Hindpool,"2,316",196,497,584,"1,039"
E05003151 : Newbarns,"1,594",380,430,390,394
E05003152 : Ormsgill,"2,151",251,484,553,863
E05003153 : Parkside,"1,775",346,527,470,432
E05003154 : Risedale,"2,120",227,462,588,843
E05003155 : Roosecote,"1,387",348,450,382,207
E05003156 : Walney North,"1,566",248,404,477,437
E05003157 : Walney South,"1,697",286,499,469,443
E05003158 : Belah,"1,843",380,593,448,422
E05003159 : Belle Vue,"2,091",221,539,554,777
E05003160 : Botcherby,"2,203",179,498,514,"1,012"
E05003161 : Brampton,"1,395",290,359,393,353
E05003162 : Burgh,608,137,188,188,95
E05003163 : Castle,"2,434",357,698,477,902
E05003164 : Currock,"2,215",173,495,599,948
E05003165 : Dalston,"1,751",427,541,449,334
E05003166 : Denton Holme,"2,522",351,705,542,924
E05003167 : Great Corby and Geltsdale,638,207,211,148,72
E05003168 : Harraby,"2,208",245,541,579,843
E05003169 : Hayton,588,161,153,160,114
E05003170 : Irthing,604,155,156,181,112
E05003171 : Longtown & Rockcliffe,"1,248",137,292,425,394
E05003172 : Lyne,537,103,137,204,93
E05003173 : Morton,"1,810",108,365,486,851
E05003174 : St Aidans,"2,293",290,777,504,722
E05003175 : Stanwix Rural,"1,354",322,458,364,210
E05003176 : Stanwix Urban,"1,665",465,592,316,292
E05003177 : Upperby,"1,766",116,308,428,914
E05003178 : Wetheral,"1,322",409,436,294,183
E05003179 : Yewdale,"1,792",229,506,493,564
E05003180 : Arlecdon,491,110,138,139,104
E05003181 : Beckermet,881,254,237,221,169
E05003182 : Bootle,379,79,104,115,81
E05003183 : Bransty,"1,606",381,467,390,368
E05003184 : Cleator Moor North,"1,346",166,325,314,541
E05003185 : Cleator Moor South,902,123,193,217,369
E05003186 : Distington,"1,283",140,266,365,512
E05003187 : Egremont North,"1,400",182,369,348,501
E05003188 : Egremont South,"1,195",183,328,294,390
E05003189 : Ennerdale,331,116,90,73,52
E05003190 : Frizington,815,125,204,180,306
E05003191 : Gosforth,381,122,115,95,49
E05003192 : Harbour,"1,416",259,360,311,486
E05003193 : Haverigg,356,50,110,114,82
E05003194 : Hensingham,"1,314",195,334,324,461
E05003195 : Hillcrest,769,180,243,212,134
E05003196 : Holborn Hill,736,96,194,217,229
E05003197 : Kells,763,75,199,197,292
E05003198 : Millom Without,360,114,91,111,44
E05003199 : Mirehouse,"1,319",81,254,341,643
E05003200 : Moresby,415,101,153,78,83
E05003201 : Newtown,"1,061",131,253,315,362
E05003202 : St Bees,546,241,132,98,75
E05003203 : Sandwith,846,62,161,174,449
E05003204 : Seascale,781,253,206,204,118
E05003205 : Alston Moor,696,131,162,217,186
E05003206 : Appleby (Appleby),377,49,84,131,113
E05003207 : Appleby (Bongate),526,70,140,175,141
E05003208 : Askham,423,109,117,124,73
E05003209 : Brough,384,60,80,152,92
E05003210 : Crosby Ravensworth,385,106,92,130,57
E05003211 : Dacre,400,108,114,113,65
E05003212 : Eamont,389,89,120,104,76
E05003213 : Greystoke,391,106,99,123,63
E05003214 : Hartside,360,98,95,110,57
E05003215 : Hesket,878,194,251,277,156
E05003216 : Kirkby Stephen,733,134,147,257,195
E05003217 : Kirkby Thore,471,94,108,150,119
E05003218 : Kirkoswald,436,123,111,139,63
E05003219 : Langwathby,447,113,126,140,68
E05003220 : Lazonby,404,113,118,111,62
E05003221 : Long Marton,343,71,93,120,59
E05003222 : Morland,356,96,100,116,44
E05003223 : Orton with Tebay,427,84,84,162,97
E05003224 : Penrith Carleton,454,79,142,125,108
E05003225 : Penrith East,807,106,242,217,242
E05003226 : Penrith North,"1,239",251,348,352,288
E05003227 : Penrith Pategill,421,38,88,123,172
E05003228 : Penrith South,734,75,158,230,271
E05003229 : Penrith West,"1,222",147,316,352,407
E05003230 : Ravenstonedale,287,61,63,111,52
E05003231 : Shap,411,67,79,169,96
E05003232 : Skelton,413,130,90,140,53
E05003233 : Ullswater,363,104,103,106,50
E05003234 : Warcop,359,81,82,148,48
E05003235 : Ambleside and Grasmere,"1,098",230,349,285,234
E05003236 : Arnside and Beetham,974,340,294,209,131
E05003237 : Broughton,640,186,181,193,80
E05003238 : Burneside,570,131,136,158,145
E05003239 : Burton and Holme,"1,119",331,308,306,174
E05003240 : Cartmel and Grange West,478,129,158,119,72
E05003241 : Coniston and Crake Valley,442,102,97,150,93
E05003242 : Crooklands,585,180,174,153,78
E05003243 : Grange North,476,117,135,127,97
E05003244 : Grange South,482,135,147,117,83
E05003245 : Hawkshead,493,136,154,118,85
E05003246 : Holker,530,88,123,212,107
E05003247 : Kendal Castle,517,115,147,139,116
E05003248 : Kendal Far Cross,685,77,148,210,250
E05003249 : Kendal Fell,927,258,268,171,230
E05003250 : Kendal Heron Hill,541,100,171,166,104
E05003251 : Kendal Highgate,794,194,209,171,220
E05003252 : Kendal Kirkland,645,58,150,179,258
E05003253 : Kendal Mintsfeet,748,176,191,203,178
E05003254 : Kendal Nether,599,145,164,162,128
E05003255 : Kendal Oxenholme and Natland,604,184,181,131,108
E05003256 : Kendal Parks,632,127,192,160,153
E05003257 : Kendal Romney,626,119,169,152,186
E05003258 : Kendal Stonecross,654,160,189,190,115
E05003259 : Kendal Strickland,656,181,195,138,142
E05003260 : Kendal Underley,725,131,153,167,274
E05003261 : Levens,529,189,134,135,71
E05003262 : Low Furness,451,163,124,108,56
E05003263 : Lyth Valley,638,190,177,163,108
E05003264 : Mid Furness,"1,179",356,335,295,193
E05003265 : Milnthorpe,644,107,138,229,170
E05003266 : Sedbergh and Kirkby Lonsdale,"1,684",487,433,491,273
E05003267 : Staveley-in-Cartmel,572,173,160,158,81
E05003268 : Staveley-in-Westmorland,591,159,166,172,94
E05003269 : Ulverston Central,513,106,134,144,129
E05003270 : Ulverston East,803,124,184,231,264
E05003271 : Ulverston North,650,208,165,140,137
E05003272 : Ulverston South,483,104,141,136,102
E05003273 : Ulverston Town,677,161,178,168,170
E05003274 : Ulverston West,505,195,146,95,69
E05003275 : Whinfell,579,179,159,166,75
E05003276 : Windermere Applethwaite and Troutbeck,524,131,167,128,98
E05003277 : Windermere Bowness North,523,130,156,129,108
E05003278 : Windermere Bowness South,704,140,216,187,161
E05003279 : Windermere Town,671,98,166,222,185
E05000650 : Astley Bridge,"4,326",975,"1,492",896,963
E05000651 : Bradshaw,"3,207",762,"1,050",652,743
E05000652 : Breightmet,"4,469",444,"1,140","1,141","1,744"
E05000653 : Bromley Cross,"4,201","1,481","1,492",737,491
E05000654 : Crompton,"5,187",560,"1,385","1,009","2,233"
E05000655 : Farnworth,"5,358",436,"1,399","1,211","2,312"
E05000656 : Great Lever,"4,347",399,"1,045",751,"2,152"
E05000657 : Halliwell,"4,934",405,"1,215",923,"2,391"
E05000658 : Harper Green,"4,144",384,"1,093",953,"1,714"
E05000659 : Heaton and Lostock,"3,641","1,524","1,213",471,433
E05000660 : Horwich and Blackrod,"4,161",981,"1,402",875,903
E05000661 : Horwich North East,"3,840",937,"1,142",847,914
E05000662 : Hulton,"4,187",778,"1,304",884,"1,221"
E05000663 : Kearsley,"4,797",682,"1,517","1,237","1,361"
E05000664 : Little Lever and Darcy Lever,"4,015",548,"1,357","1,033","1,077"
E05000665 : Rumworth,"4,867",446,"1,106",801,"2,514"
E05000666 : Smithills,"4,407",967,"1,341",960,"1,139"
E05000667 : Tonge with the Haulgh,"4,439",396,"1,182","1,111","1,750"
E05000668 : Westhoughton North and Chew Moor,"4,527","1,169","1,540",948,870
E05000669 : Westhoughton South,"4,371",892,"1,407","1,031","1,041"
E05000670 : Besses,"3,396",519,"1,078",751,"1,048"
E05000671 : Church,"2,969",735,"1,019",611,604
E05000672 : East,"3,527",310,926,726,"1,565"
E05000673 : Elton,"3,682",822,"1,251",796,813
E05000674 : Holyrood,"3,521",826,"1,239",653,803
E05000675 : Moorside,"3,971",491,"1,035",900,"1,545"
E05000676 : North Manor,"2,698",969,937,449,343
E05000677 : Pilkington Park,"2,839",940,"1,043",424,432
E05000678 : Radcliffe East,"3,888",519,"1,225",891,"1,253"
E05000679 : Radcliffe North,"3,525",561,"1,163",779,"1,022"
E05000680 : Radcliffe West,"3,989",566,"1,190",864,"1,369"
E05000681 : Ramsbottom,"3,883","1,171","1,301",723,688
E05000682 : Redvales,"3,718",567,"1,176",708,"1,267"
E05000683 : St Mary's,"3,435",944,"1,165",561,765
E05000684 : Sedgley,"3,510","1,098","1,119",540,753
E05000685 : Tottington,"3,019",764,"1,125",660,470
E05000686 : Unsworth,"2,806",634,978,587,607
E05000687 : Ancoats and Clayton,"6,787","1,591","2,286",814,"2,096"
E05000688 : Ardwick,"5,613",555,"2,248",623,"2,187"
E05000689 : Baguley,"5,116",503,"1,519","1,112","1,982"
E05000690 : Bradford,"5,951",863,"1,726",950,"2,412"
E05000691 : Brooklands,"5,069",813,"1,665","1,034","1,557"
E05000692 : Burnage,"4,542",779,"1,312",802,"1,649"
E05000693 : Charlestown,"4,840",402,"1,315","1,088","2,035"
E05000694 : Cheetham,"7,316","1,177","2,206",876,"3,057"
E05000695 : Chorlton,"5,268","2,474","1,672",476,646
E05000696 : Chorlton Park,"5,666","2,183","1,672",659,"1,152"
E05000697 : City Centre,"7,799","3,160","3,916",265,458
E05000698 : Crumpsall,"5,219",696,"1,523",896,"2,104"
E05000699 : Didsbury East,"4,694","2,232","1,412",483,567
E05000700 : Didsbury West,"5,230","2,692","1,697",322,519
E05000701 : Fallowfield,"3,857",668,"1,559",447,"1,183"
E05000702 : Gorton North,"5,719",432,"1,520","1,174","2,593"
E05000703 : Gorton South,"6,595",729,"1,910","1,238","2,718"
E05000704 : Harpurhey,"6,455",400,"1,534","1,240","3,281"
E05000705 : Higher Blackley,"4,637",448,"1,337","1,017","1,835"
E05000706 : Hulme,"6,813","1,721","2,808",597,"1,687"
E05000707 : Levenshulme,"4,521",892,"1,702",600,"1,327"
E05000708 : Longsight,"4,155",406,"1,373",530,"1,846"
E05000709 : Miles Platting and Newton Heath,"5,544",344,"1,313","1,124","2,763"
E05000710 : Moss Side,"5,866",570,"2,079",736,"2,481"
E05000711 : Moston,"4,614",461,"1,433","1,140","1,580"
E05000712 : Northenden,"4,941",874,"1,397",969,"1,701"
E05000713 : Old Moat,"4,577",978,"1,806",532,"1,261"
E05000714 : Rusholme,"3,820",638,"1,524",370,"1,288"
E05000715 : Sharston,"5,904",604,"1,590","1,117","2,593"
E05000716 : Whalley Range,"5,375","1,519","1,792",639,"1,425"
E05000717 : Withington,"4,068",874,"2,120",320,754
E05000718 : Woodhouse Park,"4,654",318,"1,271","1,023","2,042"
E05000719 : Alexandra,"3,872",249,753,789,"2,081"
E05000720 : Chadderton Central,"3,197",516,"1,099",728,854
E05000721 : Chadderton North,"3,056",535,907,684,930
E05000722 : Chadderton South,"3,480",379,982,918,"1,201"
E05000723 : Coldhurst,"3,465",206,566,521,"2,172"
E05000724 : Crompton,"3,123",601,"1,014",832,676
E05000725 : Failsworth East,"3,324",469,"1,122",871,862
E05000726 : Failsworth West,"3,079",323,978,823,955
E05000727 : Hollinwood,"3,417",212,821,751,"1,633"
E05000728 : Medlock Vale,"3,641",310,857,807,"1,667"
E05000729 : Royton North,"3,059",553,"1,008",752,746
E05000730 : Royton South,"3,357",562,"1,138",851,806
E05000731 : Saddleworth North,"2,942","1,005",965,561,411
E05000732 : Saddleworth South,"2,952","1,140",983,488,341
E05000733 : Saddleworth West and Lees,"3,480",771,"1,155",884,670
E05000734 : St James',"3,883",447,"1,003","1,044","1,389"
E05000735 : St Mary's,"3,626",225,677,658,"2,066"
E05000736 : Shaw,"3,460",564,"1,043",830,"1,023"
E05000737 : Waterhead,"3,977",415,999,986,"1,577"
E05000738 : Werneth,"3,014",281,646,479,"1,608"
E05000739 : Balderstone and Kirkholt,"3,409",356,820,761,"1,472"
E05000740 : Bamford,"2,649",828,791,461,569
E05000741 : Castleton,"3,157",382,946,808,"1,021"
E05000742 : Central Rochdale,"3,507",221,717,629,"1,940"
E05000743 : East Middleton,"3,504",439,"1,096",921,"1,048"
E05000744 : Healey,"3,042",613,"1,009",689,731
E05000745 : Hopwood Hall,"3,828",561,"1,076",907,"1,284"
E05000746 : Kingsway,"3,640",330,834,776,"1,700"
E05000747 : Littleborough Lakeside,"2,970",636,960,639,735
E05000748 : Milkstone and Deeplish,"3,122",241,603,517,"1,761"
E05000749 : Milnrow and Newhey,"3,240",634,"1,105",794,707
E05000750 : Norden,"2,940",959,"1,056",536,389
E05000751 : North Heywood,"3,544",347,986,830,"1,381"
E05000752 : North Middleton,"3,583",402,"1,043",980,"1,158"
E05000753 : Smallbridge and Firgrove,"3,664",276,797,819,"1,772"
E05000754 : South Middleton,"2,885",618,924,613,730
E05000755 : Spotland and Falinge,"3,107",397,794,649,"1,267"
E05000756 : Wardle and West Littleborough,"3,305",709,"1,128",753,715
E05000757 : West Heywood,"3,621",330,942,893,"1,456"
E05000758 : West Middleton,"3,861",325,889,813,"1,834"
E05000759 : Barton,"4,664",457,"1,384","1,035","1,788"
E05000760 : Boothstown and Ellenbrook,"2,974","1,048","1,125",450,351
E05000761 : Broughton,"4,757",500,"1,231",804,"2,222"
E05000762 : Cadishead,"3,323",441,992,820,"1,070"
E05000763 : Claremont,"3,036",578,"1,170",683,605
E05000764 : Eccles,"3,958",966,"1,301",709,982
E05000765 : Irlam,"2,945",348,919,732,946
E05000766 : Irwell Riverside,"4,494",558,"1,529",682,"1,725"
E05000767 : Kersal,"3,545",871,"1,137",519,"1,018"
E05000768 : Langworthy,"5,183",493,"1,535",852,"2,303"
E05000769 : Little Hulton,"4,184",318,"1,036",944,"1,886"
E05000770 : Ordsall,"7,469","2,114","3,038",677,"1,640"
E05000771 : Pendlebury,"4,154",535,"1,343",923,"1,353"
E05000772 : Swinton North,"3,668",463,"1,173",879,"1,153"
E05000773 : Swinton South,"3,603",557,"1,273",796,977
E05000774 : Walkden North,"4,047",384,"1,238",954,"1,471"
E05000775 : Walkden South,"3,209",693,"1,135",714,667
E05000776 : Weaste and Seedley,"4,033",594,"1,382",777,"1,280"
E05000777 : Winton,"4,069",458,"1,172",861,"1,578"
E05000778 : Worsley,"2,882","1,092","1,088",419,283
E05000779 : Bramhall North,"3,630","1,511","1,280",439,400
E05000780 : Bramhall South,"2,954","1,481",981,279,213
E05000781 : Bredbury and Woodley,"4,238",775,"1,450","1,068",945
E05000782 : Bredbury Green and Romiley,"4,176",873,"1,289",916,"1,098"
E05000783 : Brinnington and Central,"6,088",458,"1,439","1,347","2,844"
E05000784 : Cheadle and Gatley,"3,998","1,604","1,292",548,554
E05000785 : Cheadle Hulme North,"3,925","1,098","1,390",728,709
E05000786 : Cheadle Hulme South,"3,868","1,466","1,311",578,513
E05000787 : Davenport and Cale Green,"5,075",946,"1,604","1,007","1,518"
E05000788 : Edgeley and Cheadle Heath,"5,227",990,"1,697","1,097","1,443"
E05000789 : Hazel Grove,"4,085","1,022","1,448",848,767
E05000790 : Heald Green,"3,197",812,"1,168",640,577
E05000791 : Heatons North,"4,218","1,617","1,340",609,652
E05000792 : Heatons South,"4,514","1,730","1,484",610,690
E05000793 : Manor,"4,614",677,"1,557","1,227","1,153"
E05000794 : Marple North,"3,252","1,381","1,066",461,344
E05000795 : Marple South,"3,113",901,"1,076",658,478
E05000796 : Offerton,"4,139",718,"1,386",998,"1,037"
E05000797 : Reddish North,"5,023",651,"1,632","1,321","1,419"
E05000798 : Reddish South,"4,692",860,"1,532","1,098","1,202"
E05000799 : Stepping Hill,"3,616","1,039","1,294",706,577
E05000800 : Ashton Hurst,"3,439",492,987,741,"1,219"
E05000801 : Ashton St Michael's,"3,974",501,"1,086",918,"1,469"
E05000802 : Ashton Waterloo,"3,526",453,"1,102",859,"1,112"
E05000803 : Audenshaw,"3,611",484,"1,234",944,949
E05000804 : Denton North East,"3,687",425,"1,138","1,038","1,086"
E05000805 : Denton South,"3,514",343,"1,021",876,"1,274"
E05000806 : Denton West,"3,385",546,"1,185",909,745
E05000807 : Droylsden East,"3,803",476,"1,245",974,"1,108"
E05000808 : Droylsden West,"3,535",338,"1,154","1,040","1,003"
E05000809 : Dukinfield,"4,297",493,"1,220","1,137","1,447"
E05000810 : Dukinfield Stalybridge,"3,496",480,"1,065",942,"1,009"
E05000811 : Hyde Godley,"3,765",458,"1,055",871,"1,381"
