KS601EW to KS603EW - Economic activity by sex,,,,
ONS Crown Copyright Reserved [from Nomis on 17 December 2025],,,,
,,,,
population,All usual residents aged 16 to 74,,,
units,Persons,,,
date,2011,,,
rural urban,Total,,,
sex,All persons,,,
,,,,
2011 ward,All usual residents aged 16 to 74,Economically active,Economically active: Unemployed,Economically inactive: Student (including full-time students)
E05001588 : Halton Lea,"4,774","2,928",361,253
E05001589 : Halton View,"5,092","3,486",253,197
E05001590 : Heath,"4,332","2,993",182,155
E05001591 : Hough Green,"5,110","3,416",288,222
E05001592 : Kingsway,"4,837","3,239",329,256
E05001593 : Mersey,"5,581","4,067",384,217
E05001594 : Norton North,"5,046","3,644",206,196
E05001595 : Norton South,"4,839","3,166",361,239
E05001596 : Riverside,"4,010","2,656",298,201
E05001597 : Windmill Hill,"1,745",957,149,114
E05001598 : Appleton,"7,701","5,203",187,353
E05001599 : Bewsey and Whitecross,"9,177","6,694",636,321
E05001600 : Birchwood,"8,225","5,963",358,314
E05001601 : Burtonwood and Winwick,"4,677","3,218",156,126
"E05001602 : Culcheth, Glazebury and Croft","8,666","5,589",267,354
E05001603 : Fairfield and Howley,"9,741","7,265",577,290
E05001604 : Grappenhall and Thelwall,"6,815","4,965",161,221
E05001605 : Great Sankey North,"4,681","3,367",105,140
E05001606 : Great Sankey South,"7,980","5,969",293,246
"E05001607 : Hatton, Stretton and Walton","2,242","1,720",47,99
E05001608 : Latchford East,"6,015","4,370",393,203
E05001609 : Latchford West,"5,240","3,757",200,157
E05001610 : Lymm,"8,879","6,403",215,363
E05001611 : Orford,"7,728","5,391",456,272
E05001612 : Penketh and Cuerdley,"6,250","4,227",173,184
E05001613 : Poplars and Hulme,"7,491","5,344",521,287
E05001614 : Poulton North,"7,777","5,314",391,464
E05001615 : Poulton South,"4,783","3,418",123,151
E05001616 : Rixton and Woolston,"6,991","5,110",193,217
E05001617 : Stockton Heath,"4,586","3,445",93,153
E05001618 : Westbrook,"4,903","3,879",136,187
E05001619 : Whittle Hall,"8,913","7,154",280,339
E05003114 : All Saints,"3,498","2,476",124,106
E05003115 : Aspatria,"2,489","1,713",89,69
E05003116 : Boltons,"1,393","1,013",26,31
E05003117 : Broughton St Bridget's,"3,102","2,203",64,97
E05003118 : Christchurch,"2,394","1,677",55,67
E05003119 : Clifton,"1,211",833,55,27
E05003120 : Crummock,"1,187",829,16,32
E05003121 : Dalton,"1,380",963,23,61
E05003122 : Derwent Valley,"1,211",863,20,39
E05003123 : Ellen,"2,418","1,667",88,73
E05003124 : Ellenborough,"2,841","1,841",155,95
E05003125 : Ewanrigg,"2,457","1,511",151,88
E05003126 : Flimby,"1,278",837,60,33
E05003127 : Harrington,"2,335","1,600",71,55
E05003128 : Holme,"1,294",901,42,47
E05003129 : Keswick,"3,764","2,690",92,100
E05003130 : Marsh,"1,195",839,25,32
E05003131 : Moorclose,"3,595","2,319",212,131
E05003132 : Moss Bay,"3,532","2,214",264,116
E05003133 : Netherhall,"2,307","1,604",118,75
E05003134 : St John's,"4,079","2,955",146,100
E05003135 : St Michael's,"3,894","2,690",222,97
E05003136 : Seaton,"3,865","2,711",98,102
E05003137 : Silloth,"2,325","1,463",77,67
E05003138 : Solway,"1,231",881,24,36
E05003139 : Stainburn,"1,287",879,27,29
E05003140 : Wampool,"1,247",913,37,31
E05003141 : Warnell,"1,420","1,061",14,50
E05003142 : Waver,"1,387","1,016",16,45
E05003143 : Wharrels,"1,163",844,22,42
E05003144 : Wigton,"4,199","2,898",120,155
E05003145 : Barrow Island,"2,083","1,304",173,49
E05003146 : Central,"3,313","1,976",274,153
E05003147 : Dalton North,"4,535","3,233",131,127
E05003148 : Dalton South,"4,621","3,196",170,142
E05003149 : Hawcoat,"3,455","2,132",67,80
E05003150 : Hindpool,"4,361","2,730",322,140
E05003151 : Newbarns,"3,992","2,699",136,138
E05003152 : Ormsgill,"4,543","3,038",276,154
E05003153 : Parkside,"4,137","3,019",170,151
E05003154 : Risedale,"4,539","2,938",262,152
E05003155 : Roosecote,"3,615","2,519",84,87
E05003156 : Walney North,"3,913","2,403",135,117
E05003157 : Walney South,"3,996","2,710",165,123
E05003158 : Belah,"4,481","3,204",114,135
E05003159 : Belle Vue,"4,686","3,374",221,108
E05003160 : Botcherby,"4,411","3,099",229,119
E05003161 : Brampton,"3,231","2,263",133,96
E05003162 : Burgh,"1,607","1,198",31,42
E05003163 : Castle,"4,650","3,387",229,307
E05003164 : Currock,"4,582","3,469",244,139
E05003165 : Dalston,"4,443","3,198",75,158
E05003166 : Denton Holme,"4,918","3,682",216,184
E05003167 : Great Corby and Geltsdale,"1,620","1,215",29,37
E05003168 : Harraby,"4,874","3,579",168,132
E05003169 : Hayton,"1,543","1,066",38,54
E05003170 : Irthing,"1,518","1,120",39,45
E05003171 : Longtown & Rockcliffe,"3,155","2,272",98,69
E05003172 : Lyne,"1,462","1,068",31,48
E05003173 : Morton,"4,147","2,766",180,88
E05003174 : St Aidans,"4,877","3,516",187,399
E05003175 : Stanwix Rural,"3,387","2,563",53,93
E05003176 : Stanwix Urban,"4,258","3,059",94,244
E05003177 : Upperby,"3,843","2,498",244,96
E05003178 : Wetheral,"3,349","2,420",70,100
E05003179 : Yewdale,"4,489","3,194",124,85
E05003180 : Arlecdon,"1,191",851,34,39
E05003181 : Beckermet,"2,284","1,511",81,72
E05003182 : Bootle,973,672,28,22
E05003183 : Bransty,"3,810","2,812",95,98
E05003184 : Cleator Moor North,"3,128","2,068",164,105
E05003185 : Cleator Moor South,"2,073","1,411",107,66
E05003186 : Distington,"3,046","2,025",156,81
E05003187 : Egremont North,"3,288","2,212",152,102
E05003188 : Egremont South,"2,767","1,897",136,72
E05003189 : Ennerdale,805,532,21,27
E05003190 : Frizington,"1,919","1,236",99,64
E05003191 : Gosforth,"1,054",690,17,20
E05003192 : Harbour,"3,109","2,034",177,72
E05003193 : Haverigg,"1,548",732,49,37
E05003194 : Hensingham,"2,958","2,029",126,88
E05003195 : Hillcrest,"2,014","1,459",37,52
E05003196 : Holborn Hill,"1,828","1,187",75,80
E05003197 : Kells,"1,831","1,248",79,53
E05003198 : Millom Without,"1,059",697,18,20
E05003199 : Mirehouse,"3,152","2,087",194,89
E05003200 : Moresby,"1,039",767,43,41
E05003201 : Newtown,"2,557","1,660",112,76
E05003202 : St Bees,"1,369",926,32,100
E05003203 : Sandwith,"1,840","1,145",139,63
E05003204 : Seascale,"2,060","1,447",64,57
E05003205 : Alston Moor,"1,620","1,115",47,59
E05003206 : Appleby (Appleby),908,600,34,20
E05003207 : Appleby (Bongate),"1,242",927,29,31
E05003208 : Askham,"1,063",737,30,40
E05003209 : Brough,982,708,22,18
E05003210 : Crosby Ravensworth,"1,046",751,20,36
E05003211 : Dacre,"1,047",778,17,24
E05003212 : Eamont,"1,055",709,20,26
E05003213 : Greystoke,"1,033",704,15,25
E05003214 : Hartside,955,670,21,25
E05003215 : Hesket,"2,423","1,763",32,153
E05003216 : Kirkby Stephen,"1,840","1,334",58,37
E05003217 : Kirkby Thore,"1,150",865,27,27
E05003218 : Kirkoswald,"1,104",823,10,26
E05003219 : Langwathby,"1,163",875,10,40
E05003220 : Lazonby,"1,028",739,13,27
E05003221 : Long Marton,902,681,14,8
E05003222 : Morland,971,714,10,16
E05003223 : Orton with Tebay,"1,028",755,29,24
E05003224 : Penrith Carleton,"1,130",838,22,26
E05003225 : Penrith East,"1,895","1,426",50,46
E05003226 : Penrith North,"2,997","2,237",60,72
E05003227 : Penrith Pategill,952,661,26,19
E05003228 : Penrith South,"1,747","1,273",42,42
E05003229 : Penrith West,"2,469","2,014",78,87
E05003230 : Ravenstonedale,745,557,11,19
E05003231 : Shap,"1,027",748,23,21
E05003232 : Skelton,"1,144",871,19,40
E05003233 : Ullswater,"1,065",808,19,17
E05003234 : Warcop,"1,004",732,14,19
E05003235 : Ambleside and Grasmere,"2,998","2,265",56,90
E05003236 : Arnside and Beetham,"2,872","1,768",36,85
E05003237 : Broughton,"1,681","1,176",39,32
E05003238 : Burneside,"1,433","1,009",20,31
E05003239 : Burton and Holme,"2,789","2,055",33,95
E05003240 : Cartmel and Grange West,"1,326",887,30,30
E05003241 : Coniston and Crake Valley,"1,233",864,21,17
E05003242 : Crooklands,"1,602","1,097",31,51
E05003243 : Grange North,"1,252",762,21,38
E05003244 : Grange South,"1,500",830,17,31
E05003245 : Hawkshead,"1,304",943,17,19
E05003246 : Holker,"1,371",975,23,38
E05003247 : Kendal Castle,"1,311",945,25,29
E05003248 : Kendal Far Cross,"1,491","1,101",41,29
E05003249 : Kendal Fell,"1,852","1,371",50,51
E05003250 : Kendal Heron Hill,"1,418",994,22,25
E05003251 : Kendal Highgate,"1,622","1,191",41,51
E05003252 : Kendal Kirkland,"1,352","1,020",46,39
E05003253 : Kendal Mintsfeet,"1,718","1,343",50,42
E05003254 : Kendal Nether,"1,536","1,132",23,25
E05003255 : Kendal Oxenholme and Natland,"1,485","1,060",18,31
E05003256 : Kendal Parks,"1,566","1,233",25,39
E05003257 : Kendal Romney,"1,421","1,024",26,31
E05003258 : Kendal Stonecross,"1,703","1,228",19,30
E05003259 : Kendal Strickland,"1,400","1,056",24,30
E05003260 : Kendal Underley,"1,578","1,194",63,35
E05003261 : Levens,"1,487",989,17,24
E05003262 : Low Furness,"1,253",771,29,28
E05003263 : Lyth Valley,"1,663","1,161",17,40
E05003264 : Mid Furness,"3,016","2,129",66,99
E05003265 : Milnthorpe,"1,535","1,089",27,88
E05003266 : Sedbergh and Kirkby Lonsdale,"4,518","3,023",56,410
E05003267 : Staveley-in-Cartmel,"1,514","1,054",37,31
E05003268 : Staveley-in-Westmorland,"1,522","1,094",35,37
E05003269 : Ulverston Central,"1,329",859,43,43
E05003270 : Ulverston East,"1,724","1,198",68,69
E05003271 : Ulverston North,"1,469","1,046",44,27
E05003272 : Ulverston South,"1,270",855,34,39
E05003273 : Ulverston Town,"1,352",962,54,36
E05003274 : Ulverston West,"1,442",858,18,37
E05003275 : Whinfell,"1,493","1,145",18,37
E05003276 : Windermere Applethwaite and Troutbeck,"1,599","1,050",25,79
E05003277 : Windermere Bowness North,"1,431","1,053",27,34
E05003278 : Windermere Bowness South,"1,763","1,297",43,59
E05003279 : Windermere Town,"1,637","1,240",49,46
E05000650 : Astley Bridge,"10,033","7,222",373,452
E05000651 : Bradshaw,"8,308","5,478",312,304
E05000652 : Breightmet,"9,868","6,372",612,454
E05000653 : Bromley Cross,"10,367","7,469",241,414
E05000654 : Crompton,"11,012","7,009",687,651
E05000655 : Farnworth,"11,315","7,279",836,572
E05000656 : Great Lever,"9,984","5,964",752,851
E05000657 : Halliwell,"10,024","5,821",775,742
E05000658 : Harper Green,"10,027","6,449",552,662
E05000659 : Heaton and Lostock,"9,794","6,716",241,484
E05000660 : Horwich and Blackrod,"9,431","6,871",314,323
E05000661 : Horwich North East,"9,156","6,409",334,333
E05000662 : Hulton,"9,899","6,683",460,457
E05000663 : Kearsley,"10,501","7,570",520,403
E05000664 : Little Lever and Darcy Lever,"9,606","6,601",348,348
E05000665 : Rumworth,"11,216","6,556",745,"1,022"
E05000666 : Smithills,"10,146","7,094",494,510
E05000667 : Tonge with the Haulgh,"9,632","6,291",636,606
E05000668 : Westhoughton North and Chew Moor,"10,692","7,897",297,354
E05000669 : Westhoughton South,"9,712","7,182",384,376
E05000670 : Besses,"7,681","5,342",402,369
E05000671 : Church,"7,651","5,102",250,311
E05000672 : East,"7,624","4,918",527,379
E05000673 : Elton,"8,466","6,172",319,328
E05000674 : Holyrood,"8,348","5,965",305,420
E05000675 : Moorside,"8,562","5,780",572,399
E05000676 : North Manor,"7,253","4,960",160,252
E05000677 : Pilkington Park,"7,074","5,093",215,321
E05000678 : Radcliffe East,"8,286","5,888",431,334
E05000679 : Radcliffe North,"8,309","5,762",298,297
E05000680 : Radcliffe West,"8,202","5,831",490,335
E05000681 : Ramsbottom,"8,774","6,536",293,467
E05000682 : Redvales,"8,301","5,619",391,428
E05000683 : St Mary's,"7,466","5,445",336,322
E05000684 : Sedgley,"8,488","5,987",365,558
E05000685 : Tottington,"7,222","5,423",175,244
E05000686 : Unsworth,"6,980","4,857",240,310
E05000687 : Ancoats and Clayton,"12,845","8,868",757,"1,144"
E05000688 : Ardwick,"15,374","7,481",871,"5,132"
E05000689 : Baguley,"10,533","7,190",628,480
E05000690 : Bradford,"11,780","7,690",857,913
E05000691 : Brooklands,"10,493","7,435",664,456
E05000692 : Burnage,"10,728","6,973",690,850
E05000693 : Charlestown,"10,208","6,418",725,599
E05000694 : Cheetham,"16,348","9,985","1,084","1,667"
E05000695 : Chorlton,"11,184","8,970",332,616
E05000696 : Chorlton Park,"11,644","8,764",516,717
E05000697 : City Centre,"17,376","10,586",314,"6,263"
E05000698 : Crumpsall,"11,286","7,067",706,801
E05000699 : Didsbury East,"10,961","8,268",330,811
E05000700 : Didsbury West,"10,261","8,244",345,752
E05000701 : Fallowfield,"12,192","6,401",511,"3,770"
E05000702 : Gorton North,"11,602","7,311",961,774
E05000703 : Gorton South,"13,687","8,921","1,045","1,054"
E05000704 : Harpurhey,"12,754","7,685","1,052",838
E05000705 : Higher Blackley,"9,697","6,178",669,485
E05000706 : Hulme,"14,749","9,161",681,"3,792"
E05000707 : Levenshulme,"12,020","7,089",552,"2,654"
E05000708 : Longsight,"11,316","6,029",740,"2,327"
E05000709 : Miles Platting and Newton Heath,"10,851","6,342",871,643
E05000710 : Moss Side,"13,646","7,646","1,039","3,103"
E05000711 : Moston,"10,676","7,178",644,608
E05000712 : Northenden,"10,715","7,375",626,592
E05000713 : Old Moat,"11,747","7,017",604,"2,862"
E05000714 : Rusholme,"10,884","5,570",498,"3,106"
E05000715 : Sharston,"12,079","8,107",865,565
E05000716 : Whalley Range,"11,699","8,272",631,"1,053"
E05000717 : Withington,"11,835","6,530",371,"4,062"
E05000718 : Woodhouse Park,"9,762","6,473",701,510
E05000719 : Alexandra,"8,164","4,760",703,537
E05000720 : Chadderton Central,"7,730","5,422",318,337
E05000721 : Chadderton North,"7,729","5,313",362,376
E05000722 : Chadderton South,"7,969","5,606",415,313
E05000723 : Coldhurst,"8,456","4,516",791,702
E05000724 : Crompton,"7,987","5,401",248,296
E05000725 : Failsworth East,"7,785","5,637",296,321
E05000726 : Failsworth West,"7,332","4,959",338,291
E05000727 : Hollinwood,"7,576","4,785",583,421
E05000728 : Medlock Vale,"8,496","5,467",629,567
E05000729 : Royton North,"7,732","5,417",271,279
E05000730 : Royton South,"8,072","5,846",326,270
E05000731 : Saddleworth North,"7,345","5,290",201,261
E05000732 : Saddleworth South,"7,383","5,291",173,310
E05000733 : Saddleworth West and Lees,"8,254","6,117",264,306
E05000734 : St James',"8,292","5,946",554,341
E05000735 : St Mary's,"9,018","5,007",704,793
E05000736 : Shaw,"7,782","5,463",330,273
E05000737 : Waterhead,"8,564","5,772",576,394
E05000738 : Werneth,"8,099","4,383",579,747
E05000739 : Balderstone and Kirkholt,"7,354","4,680",620,381
E05000740 : Bamford,"6,903","4,574",222,311
E05000741 : Castleton,"7,375","4,935",394,340
E05000742 : Central Rochdale,"7,868","4,435",704,611
E05000743 : East Middleton,"7,711","5,481",426,332
E05000744 : Healey,"7,732","5,147",311,364
E05000745 : Hopwood Hall,"8,497","5,927",529,357
E05000746 : Kingsway,"8,195","5,006",619,605
E05000747 : Littleborough Lakeside,"6,869","4,781",302,265
E05000748 : Milkstone and Deeplish,"7,896","4,239",658,781
E05000749 : Milnrow and Newhey,"7,699","5,432",263,324
E05000750 : Norden,"7,190","5,358",179,347
E05000751 : North Heywood,"7,460","5,112",515,314
E05000752 : North Middleton,"7,688","5,532",446,323
E05000753 : Smallbridge and Firgrove,"7,858","4,634",598,476
E05000754 : South Middleton,"7,025","4,920",312,278
E05000755 : Spotland and Falinge,"7,600","4,759",486,517
E05000756 : Wardle and West Littleborough,"7,680","5,649",224,344
E05000757 : West Heywood,"7,980","5,397",575,328
E05000758 : West Middleton,"8,162","5,005",664,427
E05000759 : Barton,"9,164","6,260",573,336
E05000760 : Boothstown and Ellenbrook,"7,156","5,406",160,248
E05000761 : Broughton,"9,480","5,546",693,723
E05000762 : Cadishead,"7,434","5,387",309,259
E05000763 : Claremont,"7,420","5,503",212,327
E05000764 : Eccles,"8,410","5,945",362,303
E05000765 : Irlam,"6,972","4,841",355,234
E05000766 : Irwell Riverside,"10,702","6,616",514,"1,825"
E05000767 : Kersal,"8,134","5,204",391,773
E05000768 : Langworthy,"10,079","6,136",760,957
E05000769 : Little Hulton,"8,763","5,382",753,422
E05000770 : Ordsall,"12,501","9,684",627,"1,011"
E05000771 : Pendlebury,"9,809","6,525",538,335
E05000772 : Swinton North,"8,104","5,499",397,295
E05000773 : Swinton South,"8,239","5,891",391,296
E05000774 : Walkden North,"8,338","5,664",602,351
E05000775 : Walkden South,"7,665","5,363",283,276
E05000776 : Weaste and Seedley,"8,820","6,104",413,454
E05000777 : Winton,"8,694","5,827",540,436
E05000778 : Worsley,"7,233","5,347",168,232
E05000779 : Bramhall North,"9,354","6,561",246,474
E05000780 : Bramhall South,"8,307","5,759",164,382
E05000781 : Bredbury and Woodley,"10,124","7,203",355,334
E05000782 : Bredbury Green and Romiley,"9,980","6,714",429,390
E05000783 : Brinnington and Central,"10,988","7,029","1,050",398
E05000784 : Cheadle and Gatley,"10,289","7,150",320,636
E05000785 : Cheadle Hulme North,"9,428","6,834",307,361
E05000786 : Cheadle Hulme South,"9,828","7,159",273,414
E05000787 : Davenport and Cale Green,"10,632","7,615",570,480
E05000788 : Edgeley and Cheadle Heath,"10,562","8,025",494,383
E05000789 : Hazel Grove,"9,984","7,228",328,360
E05000790 : Heald Green,"8,960","6,128",306,514
E05000791 : Heatons North,"9,633","7,125",340,511
E05000792 : Heatons South,"10,336","7,685",356,533
E05000793 : Manor,"10,046","7,607",448,328
E05000794 : Marple North,"8,841","6,082",208,346
E05000795 : Marple South,"8,143","5,487",221,281
E05000796 : Offerton,"10,008","7,109",390,361
E05000797 : Reddish North,"10,671","7,748",517,416
E05000798 : Reddish South,"10,223","7,558",425,372
E05000799 : Stepping Hill,"8,973","6,490",255,400
E05000800 : Ashton Hurst,"8,432","5,343",436,435
E05000801 : Ashton St Michael's,"8,642","5,906",525,398
E05000802 : Ashton Waterloo,"8,226","5,633",383,376
E05000803 : Audenshaw,"8,519","6,089",350,357
E05000804 : Denton North East,"8,397","5,924",384,347
E05000805 : Denton South,"8,022","5,088",494,336
E05000806 : Denton West,"8,379","6,043",265,285
E05000807 : Droylsden East,"8,730","6,063",407,415
E05000808 : Droylsden West,"8,405","5,943",380,367
E05000809 : Dukinfield,"9,197","6,487",486,364
E05000810 : Dukinfield Stalybridge,"8,096","5,620",359,258
E05000811 : Hyde Godley,"8,234","5,534",489,346
E05000812 : Hyde Newton,"9,837","6,847",536,389
E05000813 : Hyde Werneth,"8,191","5,543",323,413
E05000814 : Longdendale,"7,337","4,732",361,298
E05000815 : Mossley,"8,273","6,148",364,272
E05000816 : St Peter's,"8,987","5,712",634,449
E05000817 : Stalybridge North,"9,331","6,411",549,383
E05000818 : Stalybridge South,"8,224","5,950",327,377
E05000819 : Altrincham,"8,450","6,585",271,310
E05000820 : Ashton upon Mersey,"6,997","5,186",200,265
E05000821 : Bowdon,"6,340","4,438",173,318
E05000822 : Broadheath,"9,297","7,220",302,314
E05000823 : Brooklands,"7,395","5,507",201,298
E05000824 : Bucklow-St Martins,"7,154","4,698",457,271
E05000825 : Clifford,"8,498","5,487",633,712
E05000826 : Davyhulme East,"7,132","5,168",233,280
E05000827 : Davyhulme West,"7,170","5,055",232,278
E05000828 : Flixton,"7,801","5,739",182,239
E05000829 : Gorse Hill,"8,685","6,486",500,370
E05000830 : Hale Barns,"6,620","4,444",143,388
E05000831 : Hale Central,"7,309","5,683",174,338
E05000832 : Longford,"8,462","5,840",403,522
E05000833 : Priory,"7,947","6,235",220,271
E05000834 : St Mary's,"8,467","5,840",370,396
E05000835 : Sale Moor,"7,375","5,369",298,292
E05000836 : Stretford,"8,116","5,822",376,374
E05000837 : Timperley,"8,010","5,994",179,316
E05000838 : Urmston,"8,057","6,022",303,304
E05000839 : Village,"7,524","5,246",286,344
E05000840 : Abram,"11,145","7,483",667,400
E05000841 : Ashton,"9,005","6,484",321,286
E05000842 : Aspull New Springs Whelley,"9,598","6,578",358,303
E05000843 : Astley Mosley Common,"8,622","6,235",272,304
E05000844 : Atherleigh,"8,625","6,120",446,272
E05000845 : Atherton,"10,962","7,183",723,387
E05000846 : Bryn,"8,677","5,758",392,303
E05000847 : Douglas,"9,519","6,389",657,331
E05000848 : Golborne and Lowton West,"8,710","6,011",372,300
E05000849 : Hindley,"9,772","6,598",492,342
E05000850 : Hindley Green,"8,548","5,962",288,260
E05000851 : Ince,"9,726","6,328",809,416
